model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,SelfCorrectionRAG,0,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,SelfCorrectionRAG,1,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
llama3_2_latest,SelfCorrectionRAG,2,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
llama3_2_latest,SelfCorrectionRAG,3,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,SelfCorrectionRAG,4,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,SelfCorrectionRAG,5,deepseek-coder:6.7b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SelfCorrectionRAG,6,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.0,1.0
llama3_2_latest,SelfCorrectionRAG,7,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
llama3_2_latest,SelfCorrectionRAG,8,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
llama3_2_latest,SelfCorrectionRAG,9,deepseek-coder:6.7b,0.9166666666666666,3,0.75,1.0,1.0
llama3_2_latest,SelfCorrectionRAG,10,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
llama3_2_latest,SelfCorrectionRAG,11,deepseek-coder:6.7b,0.43,3,0.04,0.75,0.5
llama3_2_latest,SelfCorrectionRAG,12,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,SelfCorrectionRAG,13,deepseek-coder:6.7b,0.5,3,1.0,0.0,0.5
llama3_2_latest,SelfCorrectionRAG,14,deepseek-coder:6.7b,0.5666666666666667,3,1.0,0.7,0.0
llama3_2_latest,SelfCorrectionRAG,15,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,SelfCorrectionRAG,16,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
llama3_2_latest,SelfCorrectionRAG,17,deepseek-coder:6.7b,0.75,3,0.5,0.75,1.0
llama3_2_latest,SelfCorrectionRAG,18,deepseek-coder:6.7b,0.5,3,1.0,0.5,0.0
llama3_2_latest,SelfCorrectionRAG,19,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
llama3_2_latest,SelfCorrectionRAG,20,deepseek-coder:6.7b,0.9666666666666667,3,1.0,0.9,1.0
llama3_2_latest,SelfCorrectionRAG,21,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
llama3_2_latest,SelfCorrectionRAG,22,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,SelfCorrectionRAG,23,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
llama3_2_latest,SelfCorrectionRAG,24,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,SelfCorrectionRAG,25,deepseek-coder:6.7b,0.7233333333333333,3,1.0,0.67,0.5
llama3_2_latest,SelfCorrectionRAG,26,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,SelfCorrectionRAG,27,deepseek-coder:6.7b,0.6728999999999999,3,0.0187,1.0,1.0
llama3_2_latest,SelfCorrectionRAG,28,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,SelfCorrectionRAG,29,deepseek-coder:6.7b,0.8833333333333333,3,1.0,1.0,0.65
llama3_2_latest,SelfCorrectionRAG,30,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,SelfCorrectionRAG,31,deepseek-coder:6.7b,0.5,3,0.5,1.0,0.0
llama3_2_latest,SelfCorrectionRAG,32,deepseek-coder:6.7b,0.3333333333333333,3,0.0,0.0,1.0
llama3_2_latest,SelfCorrectionRAG,33,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,SelfCorrectionRAG,34,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
llama3_2_latest,SelfCorrectionRAG,35,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
llama3_2_latest,SelfCorrectionRAG,36,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,SelfCorrectionRAG,37,deepseek-coder:6.7b,0.9583333333333334,3,0.875,1.0,1.0
llama3_2_latest,SelfCorrectionRAG,38,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
llama3_2_latest,SelfCorrectionRAG,39,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,SelfCorrectionRAG,40,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,SelfCorrectionRAG,41,deepseek-coder:6.7b,0.6566666666666666,3,1.0,0.97,0.0
llama3_2_latest,SelfCorrectionRAG,42,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
llama3_2_latest,SelfCorrectionRAG,43,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,SelfCorrectionRAG,44,deepseek-coder:6.7b,0.5,3,1.0,0.5,0.0
llama3_2_latest,SelfCorrectionRAG,45,deepseek-coder:6.7b,0.17441666666666666,3,0.5,0.0,0.023250000000000003
llama3_2_latest,SelfCorrectionRAG,46,deepseek-coder:6.7b,0.9899999999999999,3,1.0,0.97,1.0
llama3_2_latest,SelfCorrectionRAG,47,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,SelfCorrectionRAG,48,deepseek-coder:6.7b,0.5833333333333334,3,1.0,0.75,0.0
llama3_2_latest,SelfCorrectionRAG,49,deepseek-coder:6.7b,0.5833333333333334,3,0.0,0.75,1.0
llama3_2_latest,SelfCorrectionRAG,50,deepseek-coder:6.7b,0.8666666666666667,3,1.0,0.85,0.75
llama3_2_latest,SelfCorrectionRAG,51,deepseek-coder:6.7b,0.9833333333333334,3,0.95,1.0,1.0
llama3_2_latest,SelfCorrectionRAG,52,deepseek-coder:6.7b,0.9833333333333334,3,0.95,1.0,1.0
llama3_2_latest,SelfCorrectionRAG,53,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,SelfCorrectionRAG,54,deepseek-coder:6.7b,0.7999999999999999,3,0.7,1.0,0.7
llama3_2_latest,SelfCorrectionRAG,55,deepseek-coder:6.7b,0.5,3,1.0,0.5,0.0
llama3_2_latest,SelfCorrectionRAG,56,deepseek-coder:6.7b,0.6699999999999999,3,0.01,1.0,1.0
llama3_2_latest,SelfCorrectionRAG,57,deepseek-coder:6.7b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,SelfCorrectionRAG,58,deepseek-coder:6.7b,0.9,3,0.7,1.0,1.0
llama3_2_latest,SelfCorrectionRAG,59,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,SelfCorrectionRAG,60,deepseek-coder:6.7b,0.8166666666666668,3,0.5,0.95,1.0
llama3_2_latest,SelfCorrectionRAG,61,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.0,1.0
llama3_2_latest,SelfCorrectionRAG,62,deepseek-coder:6.7b,0.3666666666666667,3,0.0,0.5,0.6
llama3_2_latest,SelfCorrectionRAG,63,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,SelfCorrectionRAG,64,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,SelfCorrectionRAG,65,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
llama3_2_latest,SelfCorrectionRAG,66,deepseek-coder:6.7b,0.5,3,0.5,0.5,0.5
