model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,PlainLLM,0,deepseek-coder:6.7b,0.0006666666666666666,3,0.0,0.001,0.001
llama3_2_latest,PlainLLM,1,deepseek-coder:6.7b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,PlainLLM,2,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,PlainLLM,3,deepseek-coder:6.7b,0.5,3,0.5,0.5,0.5
llama3_2_latest,PlainLLM,4,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,PlainLLM,5,deepseek-coder:6.7b,0.6333333333333333,3,0.5,0.9,0.5
llama3_2_latest,PlainLLM,6,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,PlainLLM,7,deepseek-coder:6.7b,0.8053333333333333,3,1.0,0.416,1.0
llama3_2_latest,PlainLLM,8,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,PlainLLM,9,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,PlainLLM,10,deepseek-coder:6.7b,0.5812499999999999,3,0.8,0.5,0.44375
llama3_2_latest,PlainLLM,11,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,PlainLLM,12,deepseek-coder:6.7b,0.6749999999999999,3,1.0,0.025,1.0
llama3_2_latest,PlainLLM,13,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,PlainLLM,14,deepseek-coder:6.7b,0.7777777777777778,3,0.5,1.0,0.8333333333333334
llama3_2_latest,PlainLLM,15,deepseek-coder:6.7b,0.75,3,1.0,0.75,0.5
llama3_2_latest,PlainLLM,16,deepseek-coder:6.7b,0.5833333333333334,3,0.75,0.5,0.5
llama3_2_latest,PlainLLM,17,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,PlainLLM,18,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
llama3_2_latest,PlainLLM,19,deepseek-coder:6.7b,0.4444444444444444,3,0.3333333333333333,0.0,1.0
llama3_2_latest,PlainLLM,20,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
llama3_2_latest,PlainLLM,21,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,PlainLLM,22,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,PlainLLM,23,deepseek-coder:6.7b,0.8889999999999999,3,1.0,0.667,1.0
llama3_2_latest,PlainLLM,24,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
llama3_2_latest,PlainLLM,25,deepseek-coder:6.7b,0.75,3,0.5,0.75,1.0
llama3_2_latest,PlainLLM,26,deepseek-coder:6.7b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,PlainLLM,27,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
llama3_2_latest,PlainLLM,28,deepseek-coder:6.7b,0.2833333333333333,3,0.85,0.0,0.0
llama3_2_latest,PlainLLM,29,deepseek-coder:6.7b,0.8166666666666668,3,1.0,0.75,0.7
llama3_2_latest,PlainLLM,30,deepseek-coder:6.7b,0.5833333333333334,3,0.75,0.5,0.5
llama3_2_latest,PlainLLM,31,deepseek-coder:6.7b,0.3333333333333333,3,0.0,0.0,1.0
llama3_2_latest,PlainLLM,32,deepseek-coder:6.7b,0.2833333333333333,3,0.1,0.75,0.0
llama3_2_latest,PlainLLM,33,deepseek-coder:6.7b,0.0,3,0.0,0.0,0.0
llama3_2_latest,PlainLLM,34,deepseek-coder:6.7b,0.8055555555555555,3,0.6666666666666666,0.75,1.0
llama3_2_latest,PlainLLM,35,deepseek-coder:6.7b,0.6699999999999999,3,0.01,1.0,1.0
llama3_2_latest,PlainLLM,36,deepseek-coder:6.7b,0.21133333333333335,3,0.01,0.024,0.6
llama3_2_latest,PlainLLM,37,deepseek-coder:6.7b,0.3333333333333333,3,1.0,0.0,0.0
llama3_2_latest,PlainLLM,38,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,PlainLLM,39,deepseek-coder:6.7b,0.9433333333333334,3,1.0,1.0,0.83
