model_dir,strategy,sample_index,judge,faithfulness_code_ref
phi4_14b,PlainLLM,0,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,1,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,2,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,3,deepseek-coder:6.7b,0.5
phi4_14b,PlainLLM,4,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,5,deepseek-coder:6.7b,0.5
phi4_14b,PlainLLM,6,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,7,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,8,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,9,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,10,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,11,deepseek-coder:6.7b,0.5
phi4_14b,PlainLLM,12,deepseek-coder:6.7b,0.5
phi4_14b,PlainLLM,13,deepseek-coder:6.7b,0.5
phi4_14b,PlainLLM,14,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,15,deepseek-coder:6.7b,0.0
phi4_14b,PlainLLM,16,deepseek-coder:6.7b,0.5
phi4_14b,PlainLLM,17,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,18,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,19,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,20,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,21,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,22,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,23,deepseek-coder:6.7b,0.5
phi4_14b,PlainLLM,24,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,25,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,26,deepseek-coder:6.7b,0.9166666666666667
phi4_14b,PlainLLM,27,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,28,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,29,deepseek-coder:6.7b,0.9166666666666667
phi4_14b,PlainLLM,30,deepseek-coder:6.7b,0.5
phi4_14b,PlainLLM,31,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,32,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,33,deepseek-coder:6.7b,0.5
phi4_14b,PlainLLM,34,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,35,deepseek-coder:6.7b,0.5
phi4_14b,PlainLLM,36,deepseek-coder:6.7b,0.5
phi4_14b,PlainLLM,37,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,38,deepseek-coder:6.7b,0.75
phi4_14b,PlainLLM,39,deepseek-coder:6.7b,0.5
phi4_14b,PlainLLM,40,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,41,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,42,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,43,deepseek-coder:6.7b,0.75
phi4_14b,PlainLLM,44,deepseek-coder:6.7b,0.5
phi4_14b,PlainLLM,45,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,46,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,47,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,48,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,49,deepseek-coder:6.7b,0.5
phi4_14b,PlainLLM,50,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,51,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,52,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,53,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,54,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,55,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,56,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,57,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,58,deepseek-coder:6.7b,0.5
phi4_14b,PlainLLM,59,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,60,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,61,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,62,deepseek-coder:6.7b,0.5
phi4_14b,PlainLLM,63,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,64,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,65,deepseek-coder:6.7b,1.0
phi4_14b,PlainLLM,66,deepseek-coder:6.7b,0.5
