model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
phi4_14b,GoTRAG,0,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,GoTRAG,1,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,GoTRAG,2,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,GoTRAG,3,qwen3:8b,0.6666666666666666,3,0.5,1.0,0.5
phi4_14b,GoTRAG,4,qwen3:8b,0.8333333333333334,3,1.0,1.0,0.5
phi4_14b,GoTRAG,5,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,GoTRAG,6,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
phi4_14b,GoTRAG,7,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
phi4_14b,GoTRAG,8,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,GoTRAG,9,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,GoTRAG,10,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
phi4_14b,GoTRAG,11,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,GoTRAG,12,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,GoTRAG,13,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,GoTRAG,14,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
phi4_14b,GoTRAG,15,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
phi4_14b,GoTRAG,16,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,GoTRAG,17,qwen3:8b,0.8333333333333334,3,1.0,1.0,0.5
phi4_14b,GoTRAG,18,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
phi4_14b,GoTRAG,19,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,GoTRAG,20,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,GoTRAG,21,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
