model_dir,strategy,sample_index,judge,faithfulness_code_ref
phi4_14b,GoTSelfCorrectionRAG,0,deepseek-coder:6.7b,0.0
phi4_14b,GoTSelfCorrectionRAG,1,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,2,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,3,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,4,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,5,deepseek-coder:6.7b,0.5
phi4_14b,GoTSelfCorrectionRAG,6,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,7,deepseek-coder:6.7b,0.5
phi4_14b,GoTSelfCorrectionRAG,8,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,9,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,10,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,11,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,12,deepseek-coder:6.7b,0.035
phi4_14b,GoTSelfCorrectionRAG,13,deepseek-coder:6.7b,0.0
phi4_14b,GoTSelfCorrectionRAG,14,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,15,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,16,deepseek-coder:6.7b,0.5
phi4_14b,GoTSelfCorrectionRAG,17,deepseek-coder:6.7b,0.0
phi4_14b,GoTSelfCorrectionRAG,18,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,19,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,20,deepseek-coder:6.7b,0.5
phi4_14b,GoTSelfCorrectionRAG,21,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,22,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,23,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,24,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,25,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,26,deepseek-coder:6.7b,0.5
phi4_14b,GoTSelfCorrectionRAG,27,deepseek-coder:6.7b,0.5
phi4_14b,GoTSelfCorrectionRAG,28,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,29,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,30,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,31,deepseek-coder:6.7b,0.0
phi4_14b,GoTSelfCorrectionRAG,32,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,33,deepseek-coder:6.7b,0.6
phi4_14b,GoTSelfCorrectionRAG,34,deepseek-coder:6.7b,0.6875
phi4_14b,GoTSelfCorrectionRAG,35,deepseek-coder:6.7b,0.75
phi4_14b,GoTSelfCorrectionRAG,36,deepseek-coder:6.7b,0.0
phi4_14b,GoTSelfCorrectionRAG,37,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,38,deepseek-coder:6.7b,0.5
phi4_14b,GoTSelfCorrectionRAG,39,deepseek-coder:6.7b,0.0
phi4_14b,GoTSelfCorrectionRAG,40,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,41,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,42,deepseek-coder:6.7b,0.5
phi4_14b,GoTSelfCorrectionRAG,43,deepseek-coder:6.7b,0.0
phi4_14b,GoTSelfCorrectionRAG,44,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,45,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,46,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,47,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,48,deepseek-coder:6.7b,0.5
phi4_14b,GoTSelfCorrectionRAG,49,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,50,deepseek-coder:6.7b,0.75
phi4_14b,GoTSelfCorrectionRAG,51,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,52,deepseek-coder:6.7b,0.75
phi4_14b,GoTSelfCorrectionRAG,53,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,54,deepseek-coder:6.7b,0.5
phi4_14b,GoTSelfCorrectionRAG,55,deepseek-coder:6.7b,0.5
phi4_14b,GoTSelfCorrectionRAG,56,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,57,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,58,deepseek-coder:6.7b,0.5
phi4_14b,GoTSelfCorrectionRAG,59,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,60,deepseek-coder:6.7b,0.0
phi4_14b,GoTSelfCorrectionRAG,61,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,62,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,63,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,64,deepseek-coder:6.7b,1.0
phi4_14b,GoTSelfCorrectionRAG,65,deepseek-coder:6.7b,0.75
phi4_14b,GoTSelfCorrectionRAG,66,deepseek-coder:6.7b,1.0
