model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,GoTSelfCorrectionRAG,0,deepseek-coder:6.7b,0.9333333333333332,3,0.8,1.0,1.0
llama3_2_latest,GoTSelfCorrectionRAG,1,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
llama3_2_latest,GoTSelfCorrectionRAG,2,deepseek-coder:6.7b,0.7999999999999999,3,0.5,0.9,1.0
llama3_2_latest,GoTSelfCorrectionRAG,3,deepseek-coder:6.7b,0.17666666666666667,3,0.03,0.0,0.5
llama3_2_latest,GoTSelfCorrectionRAG,4,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,GoTSelfCorrectionRAG,5,deepseek-coder:6.7b,0.75,3,0.75,1.0,0.5
llama3_2_latest,GoTSelfCorrectionRAG,6,deepseek-coder:6.7b,0.7266666666666667,3,0.5,1.0,0.68
llama3_2_latest,GoTSelfCorrectionRAG,7,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
llama3_2_latest,GoTSelfCorrectionRAG,8,deepseek-coder:6.7b,0.5,3,0.5,0.0,1.0
llama3_2_latest,GoTSelfCorrectionRAG,9,deepseek-coder:6.7b,0.8889999999999999,3,1.0,0.667,1.0
llama3_2_latest,GoTSelfCorrectionRAG,10,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
llama3_2_latest,GoTSelfCorrectionRAG,11,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,GoTSelfCorrectionRAG,12,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,GoTSelfCorrectionRAG,13,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,GoTSelfCorrectionRAG,14,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTSelfCorrectionRAG,15,deepseek-coder:6.7b,0.9166666666666666,3,0.75,1.0,1.0
llama3_2_latest,GoTSelfCorrectionRAG,16,deepseek-coder:6.7b,0.8833333333333333,3,1.0,1.0,0.65
llama3_2_latest,GoTSelfCorrectionRAG,17,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTSelfCorrectionRAG,18,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
llama3_2_latest,GoTSelfCorrectionRAG,19,deepseek-coder:6.7b,0.4166666666666667,3,0.5,0.25,0.5
llama3_2_latest,GoTSelfCorrectionRAG,20,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTSelfCorrectionRAG,21,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
llama3_2_latest,GoTSelfCorrectionRAG,22,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,GoTSelfCorrectionRAG,23,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
llama3_2_latest,GoTSelfCorrectionRAG,24,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTSelfCorrectionRAG,25,deepseek-coder:6.7b,0.5,3,0.5,0.0,1.0
llama3_2_latest,GoTSelfCorrectionRAG,26,deepseek-coder:6.7b,0.5833333333333334,3,0.75,0.0,1.0
llama3_2_latest,GoTSelfCorrectionRAG,27,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.0,1.0
llama3_2_latest,GoTSelfCorrectionRAG,28,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTSelfCorrectionRAG,29,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,GoTSelfCorrectionRAG,30,deepseek-coder:6.7b,0.7916666666666666,3,0.5,1.0,0.875
