model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,PlainLLM,0,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,PlainLLM,1,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,PlainLLM,2,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,PlainLLM,3,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,PlainLLM,4,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,PlainLLM,5,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,PlainLLM,6,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,PlainLLM,7,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,PlainLLM,8,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,PlainLLM,9,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,PlainLLM,10,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,PlainLLM,11,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,PlainLLM,12,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,PlainLLM,13,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,PlainLLM,14,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,PlainLLM,15,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,PlainLLM,16,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,PlainLLM,17,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,PlainLLM,18,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,PlainLLM,19,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,PlainLLM,20,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,PlainLLM,21,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,PlainLLM,22,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,PlainLLM,23,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,PlainLLM,24,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,PlainLLM,25,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,PlainLLM,26,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,PlainLLM,27,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,PlainLLM,28,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,PlainLLM,29,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,PlainLLM,30,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,PlainLLM,31,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,PlainLLM,32,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,PlainLLM,33,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,PlainLLM,34,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,PlainLLM,35,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,PlainLLM,36,qwen3:8b,0.0,3,0.0,0.0,0.0
