model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,CoTRAG,0,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
qwen3_8b,CoTRAG,1,deepseek-coder:6.7b,0.9500000000000001,3,1.0,1.0,0.85
qwen3_8b,CoTRAG,2,deepseek-coder:6.7b,0.9,3,1.0,1.0,0.7
qwen3_8b,CoTRAG,3,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTRAG,4,deepseek-coder:6.7b,0.9,3,1.0,1.0,0.7
qwen3_8b,CoTRAG,5,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,CoTRAG,6,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,CoTRAG,7,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,CoTRAG,8,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,CoTRAG,9,deepseek-coder:6.7b,0.89,3,1.0,1.0,0.67
qwen3_8b,CoTRAG,10,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,CoTRAG,11,deepseek-coder:6.7b,0.9833333333333334,3,1.0,1.0,0.95
qwen3_8b,CoTRAG,12,deepseek-coder:6.7b,0.4563333333333333,3,0.75,0.019,0.6
qwen3_8b,CoTRAG,13,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTRAG,14,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,CoTRAG,15,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
qwen3_8b,CoTRAG,16,deepseek-coder:6.7b,0.75,3,0.75,1.0,0.5
qwen3_8b,CoTRAG,17,deepseek-coder:6.7b,0.5,3,0.0,1.0,0.5
qwen3_8b,CoTRAG,18,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,CoTRAG,19,deepseek-coder:6.7b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,CoTRAG,20,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
qwen3_8b,CoTRAG,21,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTRAG,22,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTRAG,23,deepseek-coder:6.7b,0.5499999999999999,3,0.0,1.0,0.65
qwen3_8b,CoTRAG,24,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,CoTRAG,25,deepseek-coder:6.7b,0.5833333333333334,3,0.75,0.0,1.0
qwen3_8b,CoTRAG,26,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTRAG,27,deepseek-coder:6.7b,0.7666666666666666,3,0.75,0.8,0.75
qwen3_8b,CoTRAG,28,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTRAG,29,deepseek-coder:6.7b,0.91,3,0.98,0.75,1.0
qwen3_8b,CoTRAG,30,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
qwen3_8b,CoTRAG,31,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
qwen3_8b,CoTRAG,32,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTRAG,33,deepseek-coder:6.7b,0.9500000000000001,3,0.85,1.0,1.0
qwen3_8b,CoTRAG,34,deepseek-coder:6.7b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,CoTRAG,35,deepseek-coder:6.7b,0.6033333333333334,3,1.0,0.01,0.8
qwen3_8b,CoTRAG,36,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTRAG,37,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
qwen3_8b,CoTRAG,38,deepseek-coder:6.7b,0.9833333333333334,3,1.0,1.0,0.95
qwen3_8b,CoTRAG,39,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTRAG,40,deepseek-coder:6.7b,0.9,3,1.0,0.7,1.0
qwen3_8b,CoTRAG,41,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
qwen3_8b,CoTRAG,42,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,CoTRAG,43,deepseek-coder:6.7b,0.6333333333333333,3,1.0,0.9,0.0
qwen3_8b,CoTRAG,44,deepseek-coder:6.7b,0.16666666666666666,3,0.0,0.0,0.5
qwen3_8b,CoTRAG,45,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTRAG,46,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTRAG,47,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTRAG,48,deepseek-coder:6.7b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,CoTRAG,49,deepseek-coder:6.7b,0.7000000000000001,3,0.8,1.0,0.3
qwen3_8b,CoTRAG,50,deepseek-coder:6.7b,0.6253333333333333,3,1.0,0.001,0.875
qwen3_8b,CoTRAG,51,deepseek-coder:6.7b,0.5,3,0.0,0.5,1.0
qwen3_8b,CoTRAG,52,deepseek-coder:6.7b,0.5833333333333334,3,1.0,0.0,0.75
qwen3_8b,CoTRAG,53,deepseek-coder:6.7b,0.9833333333333334,3,1.0,0.95,1.0
qwen3_8b,CoTRAG,54,deepseek-coder:6.7b,0.7766666666666667,3,1.0,0.33,1.0
qwen3_8b,CoTRAG,55,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,CoTRAG,56,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,CoTRAG,57,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,CoTRAG,58,deepseek-coder:6.7b,0.8166666666666668,3,0.95,1.0,0.5
qwen3_8b,CoTRAG,59,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
qwen3_8b,CoTRAG,60,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,CoTRAG,61,deepseek-coder:6.7b,0.5666666666666667,3,1.0,0.0,0.7
qwen3_8b,CoTRAG,62,deepseek-coder:6.7b,0.6166666666666667,3,0.0,1.0,0.85
qwen3_8b,CoTRAG,63,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTRAG,64,deepseek-coder:6.7b,0.86,3,1.0,0.75,0.83
qwen3_8b,CoTRAG,65,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTRAG,66,deepseek-coder:6.7b,0.16666666666666666,3,0.0,0.0,0.5
