model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,GoTRAG,0,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,1,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,2,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,3,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,4,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,5,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,GoTRAG,6,qwen3:8b,0.26666666666666666,3,0.0,0.5,0.3
llama3_2_latest,GoTRAG,7,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,GoTRAG,8,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,9,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,10,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,GoTRAG,11,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,GoTRAG,12,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,GoTRAG,13,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,GoTRAG,14,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,15,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,16,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,17,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,18,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,19,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,GoTRAG,20,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,21,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,GoTRAG,22,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,23,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,GoTRAG,24,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,25,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,26,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,27,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,28,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,GoTRAG,29,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,30,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,GoTRAG,31,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,GoTRAG,32,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,GoTRAG,33,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,GoTRAG,34,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,35,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,36,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,37,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,38,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,39,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,40,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,41,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,GoTRAG,42,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,43,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,GoTRAG,44,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,45,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,GoTRAG,46,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,47,qwen3:8b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,GoTRAG,48,qwen3:8b,0.6666666666666666,3,0.5,1.0,0.5
llama3_2_latest,GoTRAG,49,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,50,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,51,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,52,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,53,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,54,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,GoTRAG,55,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,GoTRAG,56,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,57,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,58,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,59,qwen3:8b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,GoTRAG,60,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,61,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,62,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,63,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,64,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,65,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,66,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
