model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
phi4_14b,PlainLLM,0,deepseek-coder:6.7b,0.8333333333333334,3,0.75,1.0,0.75
phi4_14b,PlainLLM,1,deepseek-coder:6.7b,0.6,3,1.0,0.0,0.8
phi4_14b,PlainLLM,2,deepseek-coder:6.7b,0.6733333333333333,3,1.0,0.02,1.0
phi4_14b,PlainLLM,3,deepseek-coder:6.7b,0.89,3,1.0,1.0,0.67
phi4_14b,PlainLLM,4,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,PlainLLM,5,deepseek-coder:6.7b,0.5,3,0.5,0.5,0.5
phi4_14b,PlainLLM,6,deepseek-coder:6.7b,0.9666666666666667,3,1.0,1.0,0.9
phi4_14b,PlainLLM,7,deepseek-coder:6.7b,0.8166666666666668,3,0.95,0.5,1.0
phi4_14b,PlainLLM,8,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,PlainLLM,9,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,PlainLLM,10,deepseek-coder:6.7b,0.7999999999999999,3,0.9,0.5,1.0
phi4_14b,PlainLLM,11,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
phi4_14b,PlainLLM,12,deepseek-coder:6.7b,0.9833333333333334,3,1.0,1.0,0.95
phi4_14b,PlainLLM,13,deepseek-coder:6.7b,0.6416666666666667,3,0.025,0.9,1.0
phi4_14b,PlainLLM,14,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,PlainLLM,15,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
phi4_14b,PlainLLM,16,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
phi4_14b,PlainLLM,17,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,PlainLLM,18,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
phi4_14b,PlainLLM,19,deepseek-coder:6.7b,0.5,3,1.0,0.5,0.0
phi4_14b,PlainLLM,20,deepseek-coder:6.7b,0.6166666666666667,3,0.5,0.5,0.85
phi4_14b,PlainLLM,21,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
phi4_14b,PlainLLM,22,deepseek-coder:6.7b,0.9433333333333334,3,1.0,1.0,0.83
phi4_14b,PlainLLM,23,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,PlainLLM,24,deepseek-coder:6.7b,0.7222222222222222,3,0.6666666666666666,0.5,1.0
phi4_14b,PlainLLM,25,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
phi4_14b,PlainLLM,26,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
phi4_14b,PlainLLM,27,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
phi4_14b,PlainLLM,28,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,PlainLLM,29,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,PlainLLM,30,deepseek-coder:6.7b,0.3383333333333333,3,0.015,1.0,0.0
phi4_14b,PlainLLM,31,deepseek-coder:6.7b,0.65,3,0.95,0.0,1.0
phi4_14b,PlainLLM,32,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
phi4_14b,PlainLLM,33,deepseek-coder:6.7b,0.5833333333333334,3,0.75,0.0,1.0
