model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,SelfCorrectionRAG,0,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,SelfCorrectionRAG,1,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,2,deepseek-coder:6.7b,0.89,3,1.0,1.0,0.67
qwen3_8b,SelfCorrectionRAG,3,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,SelfCorrectionRAG,4,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,SelfCorrectionRAG,5,deepseek-coder:6.7b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,SelfCorrectionRAG,6,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,SelfCorrectionRAG,7,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,8,deepseek-coder:6.7b,0.9833333333333334,3,1.0,0.95,1.0
qwen3_8b,SelfCorrectionRAG,9,deepseek-coder:6.7b,0.8166666666666668,3,0.75,0.7,1.0
qwen3_8b,SelfCorrectionRAG,10,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,11,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,12,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,SelfCorrectionRAG,13,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,SelfCorrectionRAG,14,deepseek-coder:6.7b,0.85,3,0.8,1.0,0.75
qwen3_8b,SelfCorrectionRAG,15,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,16,deepseek-coder:6.7b,0.7833333333333333,3,1.0,0.5,0.85
qwen3_8b,SelfCorrectionRAG,17,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
qwen3_8b,SelfCorrectionRAG,18,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,19,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
qwen3_8b,SelfCorrectionRAG,20,deepseek-coder:6.7b,0.9666666666666667,3,0.9,1.0,1.0
qwen3_8b,SelfCorrectionRAG,21,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,SelfCorrectionRAG,22,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,23,deepseek-coder:6.7b,0.7222222222222222,3,1.0,0.5,0.6666666666666666
qwen3_8b,SelfCorrectionRAG,24,deepseek-coder:6.7b,0.75,3,1.0,0.5,0.75
qwen3_8b,SelfCorrectionRAG,25,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,26,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,27,deepseek-coder:6.7b,0.8889999999999999,3,1.0,0.667,1.0
qwen3_8b,SelfCorrectionRAG,28,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,SelfCorrectionRAG,29,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,30,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,31,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,SelfCorrectionRAG,32,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,33,deepseek-coder:6.7b,0.4166666666666667,3,0.5,0.0,0.75
qwen3_8b,SelfCorrectionRAG,34,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,35,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,36,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.0,1.0
qwen3_8b,SelfCorrectionRAG,37,deepseek-coder:6.7b,0.5616666666666666,3,0.015,0.67,1.0
qwen3_8b,SelfCorrectionRAG,38,deepseek-coder:6.7b,0.6533333333333333,3,1.0,0.96,0.0
qwen3_8b,SelfCorrectionRAG,39,deepseek-coder:6.7b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,40,deepseek-coder:6.7b,0.5,3,0.5,0.0,1.0
qwen3_8b,SelfCorrectionRAG,41,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,42,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,43,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,44,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,SelfCorrectionRAG,45,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,46,deepseek-coder:6.7b,0.7833333333333333,3,0.5,1.0,0.85
qwen3_8b,SelfCorrectionRAG,47,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
qwen3_8b,SelfCorrectionRAG,48,deepseek-coder:6.7b,0.5,3,1.0,0.5,0.0
qwen3_8b,SelfCorrectionRAG,49,deepseek-coder:6.7b,0.625,3,0.5,0.875,0.5
qwen3_8b,SelfCorrectionRAG,50,deepseek-coder:6.7b,0.8333333333333334,3,0.75,1.0,0.75
qwen3_8b,SelfCorrectionRAG,51,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,52,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,53,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,SelfCorrectionRAG,54,deepseek-coder:6.7b,0.9666666666666667,3,1.0,0.95,0.95
qwen3_8b,SelfCorrectionRAG,55,deepseek-coder:6.7b,0.9533333333333333,3,0.86,1.0,1.0
qwen3_8b,SelfCorrectionRAG,56,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,57,deepseek-coder:6.7b,0.65,3,0.45,1.0,0.5
qwen3_8b,SelfCorrectionRAG,58,deepseek-coder:6.7b,0.7222222222222222,3,1.0,0.5,0.6666666666666666
qwen3_8b,SelfCorrectionRAG,59,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,60,deepseek-coder:6.7b,0.9766666666666667,3,1.0,0.93,1.0
qwen3_8b,SelfCorrectionRAG,61,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,62,deepseek-coder:6.7b,0.75,3,0.75,0.5,1.0
