model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,ToTSelfCorrectionRAG,0,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,ToTSelfCorrectionRAG,1,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTSelfCorrectionRAG,2,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,ToTSelfCorrectionRAG,3,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,ToTSelfCorrectionRAG,4,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,ToTSelfCorrectionRAG,5,qwen3:8b,0.6666666666666666,3,0.5,1.0,0.5
llama3_2_latest,ToTSelfCorrectionRAG,6,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,ToTSelfCorrectionRAG,7,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,ToTSelfCorrectionRAG,8,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTSelfCorrectionRAG,9,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTSelfCorrectionRAG,10,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTSelfCorrectionRAG,11,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTSelfCorrectionRAG,12,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,ToTSelfCorrectionRAG,13,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTSelfCorrectionRAG,14,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTSelfCorrectionRAG,15,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,ToTSelfCorrectionRAG,16,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTSelfCorrectionRAG,17,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,ToTSelfCorrectionRAG,18,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTSelfCorrectionRAG,19,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,ToTSelfCorrectionRAG,20,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTSelfCorrectionRAG,21,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,ToTSelfCorrectionRAG,22,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTSelfCorrectionRAG,23,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,ToTSelfCorrectionRAG,24,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTSelfCorrectionRAG,25,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTSelfCorrectionRAG,26,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,ToTSelfCorrectionRAG,27,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTSelfCorrectionRAG,28,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,ToTSelfCorrectionRAG,29,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTSelfCorrectionRAG,30,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTSelfCorrectionRAG,31,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTSelfCorrectionRAG,32,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTSelfCorrectionRAG,33,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTSelfCorrectionRAG,34,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,ToTSelfCorrectionRAG,35,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,ToTSelfCorrectionRAG,36,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTSelfCorrectionRAG,37,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTSelfCorrectionRAG,38,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTSelfCorrectionRAG,39,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTSelfCorrectionRAG,40,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,ToTSelfCorrectionRAG,41,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,ToTSelfCorrectionRAG,42,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,ToTSelfCorrectionRAG,43,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,ToTSelfCorrectionRAG,44,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
