model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,SimpleRAG,0,deepseek-coder:6.7b,0.9500000000000001,3,0.85,1.0,1.0
llama3_2_latest,SimpleRAG,1,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,SimpleRAG,2,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,SimpleRAG,3,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,SimpleRAG,4,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,SimpleRAG,5,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,SimpleRAG,6,deepseek-coder:6.7b,0.5833333333333334,3,0.75,0.5,0.5
llama3_2_latest,SimpleRAG,7,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,SimpleRAG,8,deepseek-coder:6.7b,0.6333333333333333,3,0.5,0.9,0.5
llama3_2_latest,SimpleRAG,9,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,SimpleRAG,10,deepseek-coder:6.7b,0.9333333333333332,3,0.8,1.0,1.0
llama3_2_latest,SimpleRAG,11,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,SimpleRAG,12,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,SimpleRAG,13,deepseek-coder:6.7b,0.6749999999999999,3,1.0,0.025,1.0
llama3_2_latest,SimpleRAG,14,deepseek-coder:6.7b,0.3333333333333333,3,1.0,0.0,0.0
llama3_2_latest,SimpleRAG,15,deepseek-coder:6.7b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,16,deepseek-coder:6.7b,0.7999999999999999,3,0.5,0.9,1.0
