model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,GoTPlainLLM,0,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
qwen3_8b,GoTPlainLLM,1,deepseek-coder:6.7b,0.8666666666666667,3,0.6,1.0,1.0
qwen3_8b,GoTPlainLLM,2,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
qwen3_8b,GoTPlainLLM,3,deepseek-coder:6.7b,0.61,3,1.0,0.5,0.33
qwen3_8b,GoTPlainLLM,4,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
qwen3_8b,GoTPlainLLM,5,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
qwen3_8b,GoTPlainLLM,6,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTPlainLLM,7,deepseek-coder:6.7b,0.7666666666666666,3,0.5,0.8,1.0
qwen3_8b,GoTPlainLLM,8,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,GoTPlainLLM,9,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTPlainLLM,10,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,GoTPlainLLM,11,deepseek-coder:6.7b,0.5333333333333333,3,0.85,0.75,0.0
qwen3_8b,GoTPlainLLM,12,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,GoTPlainLLM,13,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
qwen3_8b,GoTPlainLLM,14,deepseek-coder:6.7b,0.9833333333333334,3,1.0,0.95,1.0
qwen3_8b,GoTPlainLLM,15,deepseek-coder:6.7b,0.7666666666666666,3,1.0,0.5,0.8
qwen3_8b,GoTPlainLLM,16,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTPlainLLM,17,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTPlainLLM,18,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,GoTPlainLLM,19,deepseek-coder:6.7b,0.7000000000000001,3,1.0,0.5,0.6
qwen3_8b,GoTPlainLLM,20,deepseek-coder:6.7b,0.8522222222222222,3,0.6666666666666666,0.89,1.0
qwen3_8b,GoTPlainLLM,21,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,GoTPlainLLM,22,deepseek-coder:6.7b,0.5933333333333334,3,0.03,0.75,1.0
qwen3_8b,GoTPlainLLM,23,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTPlainLLM,24,deepseek-coder:6.7b,0.8066666666666666,3,0.67,0.75,1.0
qwen3_8b,GoTPlainLLM,25,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
qwen3_8b,GoTPlainLLM,26,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTPlainLLM,27,deepseek-coder:6.7b,0.9583333333333334,3,1.0,1.0,0.875
qwen3_8b,GoTPlainLLM,28,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,GoTPlainLLM,29,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTPlainLLM,30,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTPlainLLM,31,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTPlainLLM,32,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
qwen3_8b,GoTPlainLLM,33,deepseek-coder:6.7b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,GoTPlainLLM,34,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,GoTPlainLLM,35,deepseek-coder:6.7b,0.6222222222222222,3,0.8666666666666667,0.0,1.0
qwen3_8b,GoTPlainLLM,36,deepseek-coder:6.7b,0.17333333333333334,3,0.5,0.01,0.01
qwen3_8b,GoTPlainLLM,37,deepseek-coder:6.7b,0.9333333333333332,3,1.0,1.0,0.8
qwen3_8b,GoTPlainLLM,38,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTPlainLLM,39,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,GoTPlainLLM,40,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
qwen3_8b,GoTPlainLLM,41,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,GoTPlainLLM,42,deepseek-coder:6.7b,0.7833333333333333,3,0.85,0.5,1.0
qwen3_8b,GoTPlainLLM,43,deepseek-coder:6.7b,0.8483333333333333,3,0.875,0.67,1.0
qwen3_8b,GoTPlainLLM,44,deepseek-coder:6.7b,0.3333333333333333,3,1.0,0.0,0.0
qwen3_8b,GoTPlainLLM,45,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTPlainLLM,46,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTPlainLLM,47,deepseek-coder:6.7b,0.9,3,1.0,0.7,1.0
qwen3_8b,GoTPlainLLM,48,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTPlainLLM,49,deepseek-coder:6.7b,0.89,3,1.0,1.0,0.67
qwen3_8b,GoTPlainLLM,50,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,GoTPlainLLM,51,deepseek-coder:6.7b,0.75,3,0.75,0.5,1.0
qwen3_8b,GoTPlainLLM,52,deepseek-coder:6.7b,0.9166666666666666,3,0.75,1.0,1.0
qwen3_8b,GoTPlainLLM,53,deepseek-coder:6.7b,0.9666666666666667,3,0.9,1.0,1.0
qwen3_8b,GoTPlainLLM,54,deepseek-coder:6.7b,0.8666666666666667,3,0.75,1.0,0.85
qwen3_8b,GoTPlainLLM,55,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTPlainLLM,56,deepseek-coder:6.7b,0.33666666666666667,3,1.0,0.0,0.01
qwen3_8b,GoTPlainLLM,57,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,GoTPlainLLM,58,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTPlainLLM,59,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,GoTPlainLLM,60,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTPlainLLM,61,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTPlainLLM,62,deepseek-coder:6.7b,0.3433333333333333,3,1.0,0.0,0.03
qwen3_8b,GoTPlainLLM,63,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,GoTPlainLLM,64,deepseek-coder:6.7b,0.8222222222222223,3,1.0,0.8,0.6666666666666666
qwen3_8b,GoTPlainLLM,65,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTPlainLLM,66,deepseek-coder:6.7b,0.8666666666666667,3,0.8,0.8,1.0
