model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
phi4_14b,CoTSelfCorrectionRAG,0,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
phi4_14b,CoTSelfCorrectionRAG,1,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
phi4_14b,CoTSelfCorrectionRAG,2,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
phi4_14b,CoTSelfCorrectionRAG,3,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,CoTSelfCorrectionRAG,4,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,CoTSelfCorrectionRAG,5,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
phi4_14b,CoTSelfCorrectionRAG,6,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
phi4_14b,CoTSelfCorrectionRAG,7,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
phi4_14b,CoTSelfCorrectionRAG,8,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,CoTSelfCorrectionRAG,9,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,CoTSelfCorrectionRAG,10,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,CoTSelfCorrectionRAG,11,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
phi4_14b,CoTSelfCorrectionRAG,12,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
phi4_14b,CoTSelfCorrectionRAG,13,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,CoTSelfCorrectionRAG,14,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,CoTSelfCorrectionRAG,15,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
phi4_14b,CoTSelfCorrectionRAG,16,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,CoTSelfCorrectionRAG,17,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
phi4_14b,CoTSelfCorrectionRAG,18,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,CoTSelfCorrectionRAG,19,qwen3:8b,0.0,3,0.0,0.0,0.0
