model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,GoTSelfCorrectionRAG,0,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,GoTSelfCorrectionRAG,1,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,GoTSelfCorrectionRAG,2,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,GoTSelfCorrectionRAG,3,deepseek-coder:6.7b,0.75,3,1.0,0.5,0.75
qwen3_8b,GoTSelfCorrectionRAG,4,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,GoTSelfCorrectionRAG,5,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
qwen3_8b,GoTSelfCorrectionRAG,6,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTSelfCorrectionRAG,7,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTSelfCorrectionRAG,8,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
qwen3_8b,GoTSelfCorrectionRAG,9,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTSelfCorrectionRAG,10,deepseek-coder:6.7b,0.7833333333333333,3,1.0,0.5,0.85
qwen3_8b,GoTSelfCorrectionRAG,11,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,GoTSelfCorrectionRAG,12,deepseek-coder:6.7b,0.75,3,1.0,0.75,0.5
qwen3_8b,GoTSelfCorrectionRAG,13,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTSelfCorrectionRAG,14,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTSelfCorrectionRAG,15,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTSelfCorrectionRAG,16,deepseek-coder:6.7b,0.5,3,0.0,0.75,0.75
qwen3_8b,GoTSelfCorrectionRAG,17,deepseek-coder:6.7b,0.47333333333333333,3,0.42,0.5,0.5
qwen3_8b,GoTSelfCorrectionRAG,18,deepseek-coder:6.7b,0.8166666666666668,3,0.75,0.7,1.0
qwen3_8b,GoTSelfCorrectionRAG,19,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.0,1.0
qwen3_8b,GoTSelfCorrectionRAG,20,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTSelfCorrectionRAG,21,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTSelfCorrectionRAG,22,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
qwen3_8b,GoTSelfCorrectionRAG,23,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTSelfCorrectionRAG,24,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,GoTSelfCorrectionRAG,25,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
qwen3_8b,GoTSelfCorrectionRAG,26,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
qwen3_8b,GoTSelfCorrectionRAG,27,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
