model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
phi4_14b,ToTSelfCorrectionRAG,0,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
phi4_14b,ToTSelfCorrectionRAG,1,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,ToTSelfCorrectionRAG,2,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,ToTSelfCorrectionRAG,3,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,ToTSelfCorrectionRAG,4,deepseek-coder:6.7b,0.75,3,0.75,0.5,1.0
phi4_14b,ToTSelfCorrectionRAG,5,deepseek-coder:6.7b,0.65,3,0.95,1.0,0.0
phi4_14b,ToTSelfCorrectionRAG,6,deepseek-coder:6.7b,0.5,3,0.5,1.0,0.0
phi4_14b,ToTSelfCorrectionRAG,7,deepseek-coder:6.7b,0.5,3,1.0,0.0,0.5
phi4_14b,ToTSelfCorrectionRAG,8,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
phi4_14b,ToTSelfCorrectionRAG,9,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
phi4_14b,ToTSelfCorrectionRAG,10,deepseek-coder:6.7b,0.2833333333333333,3,0.85,0.0,0.0
phi4_14b,ToTSelfCorrectionRAG,11,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,ToTSelfCorrectionRAG,12,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,ToTSelfCorrectionRAG,13,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,ToTSelfCorrectionRAG,14,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,ToTSelfCorrectionRAG,15,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
phi4_14b,ToTSelfCorrectionRAG,16,deepseek-coder:6.7b,0.5833333333333334,3,1.0,0.0,0.75
phi4_14b,ToTSelfCorrectionRAG,17,deepseek-coder:6.7b,0.9166666666666666,3,0.75,1.0,1.0
phi4_14b,ToTSelfCorrectionRAG,18,deepseek-coder:6.7b,0.7638888888888888,3,0.7916666666666666,0.5,1.0
phi4_14b,ToTSelfCorrectionRAG,19,deepseek-coder:6.7b,0.6233333333333334,3,0.0,1.0,0.87
phi4_14b,ToTSelfCorrectionRAG,20,deepseek-coder:6.7b,0.3333333333333333,3,0.5,0.5,0.0
phi4_14b,ToTSelfCorrectionRAG,21,deepseek-coder:6.7b,0.9,3,1.0,1.0,0.7
phi4_14b,ToTSelfCorrectionRAG,22,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
phi4_14b,ToTSelfCorrectionRAG,23,deepseek-coder:6.7b,0.9333333333333332,3,0.8,1.0,1.0
phi4_14b,ToTSelfCorrectionRAG,24,deepseek-coder:6.7b,0.9666666666666668,3,0.9,1.0,1.0
phi4_14b,ToTSelfCorrectionRAG,25,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,ToTSelfCorrectionRAG,26,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
phi4_14b,ToTSelfCorrectionRAG,27,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
phi4_14b,ToTSelfCorrectionRAG,28,deepseek-coder:6.7b,0.7333333333333334,3,1.0,1.0,0.2
phi4_14b,ToTSelfCorrectionRAG,29,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,ToTSelfCorrectionRAG,30,deepseek-coder:6.7b,0.5333333333333333,3,0.0,0.6,1.0
phi4_14b,ToTSelfCorrectionRAG,31,deepseek-coder:6.7b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTSelfCorrectionRAG,32,deepseek-coder:6.7b,0.9583333333333334,3,1.0,0.875,1.0
phi4_14b,ToTSelfCorrectionRAG,33,deepseek-coder:6.7b,0.2333333333333333,3,0.0,0.0,0.7
phi4_14b,ToTSelfCorrectionRAG,34,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
phi4_14b,ToTSelfCorrectionRAG,35,deepseek-coder:6.7b,0.9666666666666668,3,1.0,0.9,1.0
phi4_14b,ToTSelfCorrectionRAG,36,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
phi4_14b,ToTSelfCorrectionRAG,37,deepseek-coder:6.7b,0.5,3,0.5,1.0,0.0
phi4_14b,ToTSelfCorrectionRAG,38,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
phi4_14b,ToTSelfCorrectionRAG,39,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
