model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,CoTSelfCorrectionRAG,0,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,1,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTSelfCorrectionRAG,2,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,CoTSelfCorrectionRAG,3,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,4,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,5,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTSelfCorrectionRAG,6,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,CoTSelfCorrectionRAG,7,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,8,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,CoTSelfCorrectionRAG,9,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,CoTSelfCorrectionRAG,10,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,CoTSelfCorrectionRAG,11,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,12,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTSelfCorrectionRAG,13,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTSelfCorrectionRAG,14,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,15,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,16,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,CoTSelfCorrectionRAG,17,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,CoTSelfCorrectionRAG,18,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,CoTSelfCorrectionRAG,19,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTSelfCorrectionRAG,20,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,CoTSelfCorrectionRAG,21,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,22,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,23,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,24,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,25,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,26,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,27,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,28,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTSelfCorrectionRAG,29,qwen3:8b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,CoTSelfCorrectionRAG,30,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,CoTSelfCorrectionRAG,31,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,CoTSelfCorrectionRAG,32,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTSelfCorrectionRAG,33,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,34,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,35,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,36,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,37,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTSelfCorrectionRAG,38,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,CoTSelfCorrectionRAG,39,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,40,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,41,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,CoTSelfCorrectionRAG,42,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,CoTSelfCorrectionRAG,43,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,CoTSelfCorrectionRAG,44,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTSelfCorrectionRAG,45,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,CoTSelfCorrectionRAG,46,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,47,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,CoTSelfCorrectionRAG,48,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,CoTSelfCorrectionRAG,49,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTSelfCorrectionRAG,50,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,CoTSelfCorrectionRAG,51,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,52,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTSelfCorrectionRAG,53,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,54,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTSelfCorrectionRAG,55,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,CoTSelfCorrectionRAG,56,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,57,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,CoTSelfCorrectionRAG,58,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTSelfCorrectionRAG,59,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTSelfCorrectionRAG,60,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,61,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,CoTSelfCorrectionRAG,62,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,63,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,64,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,65,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,CoTSelfCorrectionRAG,66,qwen3:8b,0.0,3,0.0,0.0,0.0
