model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
phi4_14b,SimpleRAG,0,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
phi4_14b,SimpleRAG,1,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,2,qwen3:8b,0.6666666666666666,3,0.5,0.5,1.0
phi4_14b,SimpleRAG,3,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,4,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,5,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,6,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,7,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
phi4_14b,SimpleRAG,8,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,9,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,10,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,11,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
phi4_14b,SimpleRAG,12,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,13,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,14,qwen3:8b,0.6666666666666666,3,1.0,0.5,0.5
phi4_14b,SimpleRAG,15,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,16,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,17,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,18,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,19,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
phi4_14b,SimpleRAG,20,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,21,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,22,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,23,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,24,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,25,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,26,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,27,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,28,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,29,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,30,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,31,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
phi4_14b,SimpleRAG,32,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,33,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,34,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,35,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
phi4_14b,SimpleRAG,36,qwen3:8b,0.0,3,0.0,0.0,0.0
phi4_14b,SimpleRAG,37,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,38,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,39,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,40,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,41,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
phi4_14b,SimpleRAG,42,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,43,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
phi4_14b,SimpleRAG,44,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,45,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
phi4_14b,SimpleRAG,46,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
phi4_14b,SimpleRAG,47,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
phi4_14b,SimpleRAG,48,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,49,qwen3:8b,0.0,3,0.0,0.0,0.0
phi4_14b,SimpleRAG,50,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,51,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,52,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
phi4_14b,SimpleRAG,53,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
phi4_14b,SimpleRAG,54,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,55,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,56,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,57,qwen3:8b,0.0,3,0.0,0.0,0.0
phi4_14b,SimpleRAG,58,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,59,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
phi4_14b,SimpleRAG,60,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,61,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,62,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,63,qwen3:8b,0.6666666666666666,3,1.0,0.5,0.5
phi4_14b,SimpleRAG,64,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,65,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,SimpleRAG,66,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
