model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
phi4_14b,SelfCorrectionRAG,0,deepseek-coder:6.7b,0.6669999999999999,3,1.0,1.0,0.001
phi4_14b,SelfCorrectionRAG,1,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
phi4_14b,SelfCorrectionRAG,2,deepseek-coder:6.7b,0.8833333333333333,3,0.9,0.75,1.0
phi4_14b,SelfCorrectionRAG,3,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,SelfCorrectionRAG,4,deepseek-coder:6.7b,0.9444444444444445,3,1.0,1.0,0.8333333333333334
phi4_14b,SelfCorrectionRAG,5,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
phi4_14b,SelfCorrectionRAG,6,deepseek-coder:6.7b,0.75,3,1.0,0.75,0.5
phi4_14b,SelfCorrectionRAG,7,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
phi4_14b,SelfCorrectionRAG,8,deepseek-coder:6.7b,0.45,3,0.0,0.5,0.85
phi4_14b,SelfCorrectionRAG,9,deepseek-coder:6.7b,0.8866666666666667,3,0.66,1.0,1.0
phi4_14b,SelfCorrectionRAG,10,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,SelfCorrectionRAG,11,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,SelfCorrectionRAG,12,deepseek-coder:6.7b,0.361,3,0.0,0.75,0.333
phi4_14b,SelfCorrectionRAG,13,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
phi4_14b,SelfCorrectionRAG,14,deepseek-coder:6.7b,0.8333333333333334,3,0.75,1.0,0.75
phi4_14b,SelfCorrectionRAG,15,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
phi4_14b,SelfCorrectionRAG,16,deepseek-coder:6.7b,0.8333333333333334,3,0.85,0.75,0.9
phi4_14b,SelfCorrectionRAG,17,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
phi4_14b,SelfCorrectionRAG,18,deepseek-coder:6.7b,0.5,3,0.5,0.0,1.0
phi4_14b,SelfCorrectionRAG,19,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
phi4_14b,SelfCorrectionRAG,20,deepseek-coder:6.7b,0.6222222222222222,3,0.016666666666666666,0.85,1.0
phi4_14b,SelfCorrectionRAG,21,deepseek-coder:6.7b,0.6725,3,1.0,1.0,0.0175
phi4_14b,SelfCorrectionRAG,22,deepseek-coder:6.7b,0.5094433333333334,3,0.02833,0.5,1.0
phi4_14b,SelfCorrectionRAG,23,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,SelfCorrectionRAG,24,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
phi4_14b,SelfCorrectionRAG,25,deepseek-coder:6.7b,0.5,3,1.0,0.5,0.0
phi4_14b,SelfCorrectionRAG,26,deepseek-coder:6.7b,0.6056666666666667,3,0.8,0.017,1.0
phi4_14b,SelfCorrectionRAG,27,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,SelfCorrectionRAG,28,deepseek-coder:6.7b,0.9333333333333332,3,1.0,0.8,1.0
phi4_14b,SelfCorrectionRAG,29,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
phi4_14b,SelfCorrectionRAG,30,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,SelfCorrectionRAG,31,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,SelfCorrectionRAG,32,deepseek-coder:6.7b,0.5833333333333334,3,0.0,0.75,1.0
phi4_14b,SelfCorrectionRAG,33,deepseek-coder:6.7b,0.8876666666666666,3,0.833,0.83,1.0
phi4_14b,SelfCorrectionRAG,34,deepseek-coder:6.7b,0.5,3,0.0,1.0,0.5
phi4_14b,SelfCorrectionRAG,35,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
phi4_14b,SelfCorrectionRAG,36,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,SelfCorrectionRAG,37,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
phi4_14b,SelfCorrectionRAG,38,deepseek-coder:6.7b,0.5833333333333334,3,1.0,0.75,0.0
phi4_14b,SelfCorrectionRAG,39,deepseek-coder:6.7b,0.9433333333333334,3,1.0,0.83,1.0
phi4_14b,SelfCorrectionRAG,40,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
