model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,CoTRAG,0,deepseek-coder:6.7b,0.5003333333333333,3,0.001,0.5,1.0
llama3_2_latest,CoTRAG,1,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
llama3_2_latest,CoTRAG,2,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
llama3_2_latest,CoTRAG,3,deepseek-coder:6.7b,0.9666666666666667,3,1.0,0.9,1.0
llama3_2_latest,CoTRAG,4,deepseek-coder:6.7b,0.8766666666666666,3,0.63,1.0,1.0
llama3_2_latest,CoTRAG,5,deepseek-coder:6.7b,0.75,3,0.65,1.0,0.6
llama3_2_latest,CoTRAG,6,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTRAG,7,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.0,1.0
llama3_2_latest,CoTRAG,8,deepseek-coder:6.7b,0.65,3,0.5,0.95,0.5
llama3_2_latest,CoTRAG,9,deepseek-coder:6.7b,0.75,3,1.0,0.5,0.75
llama3_2_latest,CoTRAG,10,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,CoTRAG,11,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTRAG,12,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTRAG,13,deepseek-coder:6.7b,0.33886666666666665,3,0.0,1.0,0.0166
llama3_2_latest,CoTRAG,14,deepseek-coder:6.7b,0.75,3,0.75,1.0,0.5
llama3_2_latest,CoTRAG,15,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,CoTRAG,16,deepseek-coder:6.7b,0.6566666666666666,3,0.87,0.5,0.6
llama3_2_latest,CoTRAG,17,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,CoTRAG,18,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,CoTRAG,19,deepseek-coder:6.7b,0.3333333333333333,3,0.0,1.0,0.0
llama3_2_latest,CoTRAG,20,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,CoTRAG,21,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
llama3_2_latest,CoTRAG,22,deepseek-coder:6.7b,0.6,3,0.8,0.5,0.5
llama3_2_latest,CoTRAG,23,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
llama3_2_latest,CoTRAG,24,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTRAG,25,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
llama3_2_latest,CoTRAG,26,deepseek-coder:6.7b,0.64,3,1.0,0.5,0.42
llama3_2_latest,CoTRAG,27,deepseek-coder:6.7b,0.8723333333333333,3,0.667,0.95,1.0
llama3_2_latest,CoTRAG,28,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTRAG,29,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,CoTRAG,30,deepseek-coder:6.7b,0.7833333333333333,3,1.0,0.5,0.85
llama3_2_latest,CoTRAG,31,deepseek-coder:6.7b,0.5,3,1.0,0.0,0.5
llama3_2_latest,CoTRAG,32,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.0,1.0
llama3_2_latest,CoTRAG,33,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTRAG,34,deepseek-coder:6.7b,0.73,3,0.94,0.75,0.5
llama3_2_latest,CoTRAG,35,deepseek-coder:6.7b,0.25633333333333336,3,0.75,0.019,0.0
llama3_2_latest,CoTRAG,36,deepseek-coder:6.7b,0.33666666666666667,3,0.5,0.5,0.01
llama3_2_latest,CoTRAG,37,deepseek-coder:6.7b,0.7083333333333334,3,1.0,0.625,0.5
llama3_2_latest,CoTRAG,38,deepseek-coder:6.7b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTRAG,39,deepseek-coder:6.7b,0.7333333333333334,3,0.5,0.7,1.0
llama3_2_latest,CoTRAG,40,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTRAG,41,deepseek-coder:6.7b,0.49000000000000005,3,0.0,0.67,0.8
llama3_2_latest,CoTRAG,42,deepseek-coder:6.7b,0.6666666666666666,3,0.75,0.5,0.75
llama3_2_latest,CoTRAG,43,deepseek-coder:6.7b,0.75,3,0.75,0.5,1.0
llama3_2_latest,CoTRAG,44,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
