model_dir,strategy,sample_index,judge,faithfulness_code_ref
phi4_14b,ToTPlainLLM,0,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,1,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,2,deepseek-coder:6.7b,0.8
phi4_14b,ToTPlainLLM,3,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,4,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,5,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,6,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,7,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,8,deepseek-coder:6.7b,0.5
phi4_14b,ToTPlainLLM,9,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,10,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,11,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,12,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,13,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,14,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,15,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,16,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,17,deepseek-coder:6.7b,0.8
phi4_14b,ToTPlainLLM,18,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,19,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,20,deepseek-coder:6.7b,0.5
phi4_14b,ToTPlainLLM,21,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,22,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,23,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,24,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,25,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,26,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,27,deepseek-coder:6.7b,0.75
phi4_14b,ToTPlainLLM,28,deepseek-coder:6.7b,0.75
phi4_14b,ToTPlainLLM,29,deepseek-coder:6.7b,1.0
