model_dir,strategy,sample_index,judge,faithfulness_code_ref
qwen3_8b,CoTPlainLLM,0,deepseek-coder:6.7b,0.025
qwen3_8b,CoTPlainLLM,1,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,2,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,3,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,4,deepseek-coder:6.7b,0.5
qwen3_8b,CoTPlainLLM,5,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,6,deepseek-coder:6.7b,0.5
qwen3_8b,CoTPlainLLM,7,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,8,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,9,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,10,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,11,deepseek-coder:6.7b,0.5
qwen3_8b,CoTPlainLLM,12,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,13,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,14,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,15,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,16,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,17,deepseek-coder:6.7b,0.5
qwen3_8b,CoTPlainLLM,18,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,19,deepseek-coder:6.7b,0.0
qwen3_8b,CoTPlainLLM,20,deepseek-coder:6.7b,0.04
qwen3_8b,CoTPlainLLM,21,deepseek-coder:6.7b,0.5
qwen3_8b,CoTPlainLLM,22,deepseek-coder:6.7b,0.0
qwen3_8b,CoTPlainLLM,23,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,24,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,25,deepseek-coder:6.7b,0.75
qwen3_8b,CoTPlainLLM,26,deepseek-coder:6.7b,0.95
qwen3_8b,CoTPlainLLM,27,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,28,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,29,deepseek-coder:6.7b,0.5
qwen3_8b,CoTPlainLLM,30,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,31,deepseek-coder:6.7b,0.8333
qwen3_8b,CoTPlainLLM,32,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,33,deepseek-coder:6.7b,0.0
qwen3_8b,CoTPlainLLM,34,deepseek-coder:6.7b,0.5
qwen3_8b,CoTPlainLLM,35,deepseek-coder:6.7b,0.5
qwen3_8b,CoTPlainLLM,36,deepseek-coder:6.7b,0.85
qwen3_8b,CoTPlainLLM,37,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,38,deepseek-coder:6.7b,0.5
qwen3_8b,CoTPlainLLM,39,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,40,deepseek-coder:6.7b,0.5
qwen3_8b,CoTPlainLLM,41,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,42,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,43,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,44,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,45,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,46,deepseek-coder:6.7b,0.5
qwen3_8b,CoTPlainLLM,47,deepseek-coder:6.7b,0.5
qwen3_8b,CoTPlainLLM,48,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,49,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,50,deepseek-coder:6.7b,0.5
qwen3_8b,CoTPlainLLM,51,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,52,deepseek-coder:6.7b,0.9
qwen3_8b,CoTPlainLLM,53,deepseek-coder:6.7b,0.0
qwen3_8b,CoTPlainLLM,54,deepseek-coder:6.7b,0.0
qwen3_8b,CoTPlainLLM,55,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,56,deepseek-coder:6.7b,0.66
qwen3_8b,CoTPlainLLM,57,deepseek-coder:6.7b,0.0
qwen3_8b,CoTPlainLLM,58,deepseek-coder:6.7b,0.0
qwen3_8b,CoTPlainLLM,59,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,60,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,61,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,62,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,63,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,64,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,65,deepseek-coder:6.7b,1.0
qwen3_8b,CoTPlainLLM,66,deepseek-coder:6.7b,0.5
