model_dir,strategy,sample_index,judge,faithfulness_code_ref
phi4_14b,CoTRAG,0,deepseek-coder:6.7b,0.5
phi4_14b,CoTRAG,1,deepseek-coder:6.7b,0.0
phi4_14b,CoTRAG,2,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,3,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,4,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,5,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,6,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,7,deepseek-coder:6.7b,0.5
phi4_14b,CoTRAG,8,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,9,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,10,deepseek-coder:6.7b,0.5
phi4_14b,CoTRAG,11,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,12,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,13,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,14,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,15,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,16,deepseek-coder:6.7b,0.0
phi4_14b,CoTRAG,17,deepseek-coder:6.7b,0.0
phi4_14b,CoTRAG,18,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,19,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,20,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,21,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,22,deepseek-coder:6.7b,0.5
phi4_14b,CoTRAG,23,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,24,deepseek-coder:6.7b,0.0
phi4_14b,CoTRAG,25,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,26,deepseek-coder:6.7b,0.75
phi4_14b,CoTRAG,27,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,28,deepseek-coder:6.7b,0.0
phi4_14b,CoTRAG,29,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,30,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,31,deepseek-coder:6.7b,0.975
phi4_14b,CoTRAG,32,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,33,deepseek-coder:6.7b,0.0
phi4_14b,CoTRAG,34,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,35,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,36,deepseek-coder:6.7b,0.01
phi4_14b,CoTRAG,37,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,38,deepseek-coder:6.7b,0.5
phi4_14b,CoTRAG,39,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,40,deepseek-coder:6.7b,0.0
phi4_14b,CoTRAG,41,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,42,deepseek-coder:6.7b,0.75
phi4_14b,CoTRAG,43,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,44,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,45,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,46,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,47,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,48,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,49,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,50,deepseek-coder:6.7b,0.85
phi4_14b,CoTRAG,51,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,52,deepseek-coder:6.7b,0.5
phi4_14b,CoTRAG,53,deepseek-coder:6.7b,0.5
phi4_14b,CoTRAG,54,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,55,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,56,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,57,deepseek-coder:6.7b,0.5
phi4_14b,CoTRAG,58,deepseek-coder:6.7b,0.0
phi4_14b,CoTRAG,59,deepseek-coder:6.7b,0.8
phi4_14b,CoTRAG,60,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,61,deepseek-coder:6.7b,0.75
phi4_14b,CoTRAG,62,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,63,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,64,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,65,deepseek-coder:6.7b,1.0
phi4_14b,CoTRAG,66,deepseek-coder:6.7b,1.0
