model_dir,strategy,sample_index,judge,faithfulness_code_ref
phi4_14b,SimpleRAG,0,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,1,deepseek-coder:6.7b,0.5
phi4_14b,SimpleRAG,2,deepseek-coder:6.7b,0.8
phi4_14b,SimpleRAG,3,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,4,deepseek-coder:6.7b,0.5
phi4_14b,SimpleRAG,5,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,6,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,7,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,8,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,9,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,10,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,11,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,12,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,13,deepseek-coder:6.7b,0.75
phi4_14b,SimpleRAG,14,deepseek-coder:6.7b,0.95
phi4_14b,SimpleRAG,15,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,16,deepseek-coder:6.7b,0.5
phi4_14b,SimpleRAG,17,deepseek-coder:6.7b,0.0
phi4_14b,SimpleRAG,18,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,19,deepseek-coder:6.7b,0.5
phi4_14b,SimpleRAG,20,deepseek-coder:6.7b,0.7
phi4_14b,SimpleRAG,21,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,22,deepseek-coder:6.7b,0.9
phi4_14b,SimpleRAG,23,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,24,deepseek-coder:6.7b,0.64
phi4_14b,SimpleRAG,25,deepseek-coder:6.7b,0.9
phi4_14b,SimpleRAG,26,deepseek-coder:6.7b,0.67
phi4_14b,SimpleRAG,27,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,28,deepseek-coder:6.7b,0.5
phi4_14b,SimpleRAG,29,deepseek-coder:6.7b,0.5
phi4_14b,SimpleRAG,30,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,31,deepseek-coder:6.7b,0.85
phi4_14b,SimpleRAG,32,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,33,deepseek-coder:6.7b,0.0
phi4_14b,SimpleRAG,34,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,35,deepseek-coder:6.7b,0.01
phi4_14b,SimpleRAG,36,deepseek-coder:6.7b,0.5
phi4_14b,SimpleRAG,37,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,38,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,39,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,40,deepseek-coder:6.7b,0.75
phi4_14b,SimpleRAG,41,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,42,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,43,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,44,deepseek-coder:6.7b,0.4
phi4_14b,SimpleRAG,45,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,46,deepseek-coder:6.7b,0.5
phi4_14b,SimpleRAG,47,deepseek-coder:6.7b,0.8333333333333334
phi4_14b,SimpleRAG,48,deepseek-coder:6.7b,0.5
phi4_14b,SimpleRAG,49,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,50,deepseek-coder:6.7b,0.5
phi4_14b,SimpleRAG,51,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,52,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,53,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,54,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,55,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,56,deepseek-coder:6.7b,0.6666666666666666
phi4_14b,SimpleRAG,57,deepseek-coder:6.7b,0.5
phi4_14b,SimpleRAG,58,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,59,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,60,deepseek-coder:6.7b,0.5
phi4_14b,SimpleRAG,61,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,62,deepseek-coder:6.7b,0.75
phi4_14b,SimpleRAG,63,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,64,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,65,deepseek-coder:6.7b,1.0
phi4_14b,SimpleRAG,66,deepseek-coder:6.7b,0.57
