model_dir,strategy,sample_index,judge,faithfulness_code_ref
phi4_14b,ToTPlainLLM,0,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,1,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,2,deepseek-coder:6.7b,0.8
phi4_14b,ToTPlainLLM,3,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,4,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,5,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,6,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,7,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,8,deepseek-coder:6.7b,0.5
phi4_14b,ToTPlainLLM,9,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,10,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,11,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,12,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,13,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,14,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,15,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,16,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,17,deepseek-coder:6.7b,0.8
phi4_14b,ToTPlainLLM,18,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,19,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,20,deepseek-coder:6.7b,0.5
phi4_14b,ToTPlainLLM,21,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,22,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,23,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,24,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,25,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,26,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,27,deepseek-coder:6.7b,0.75
phi4_14b,ToTPlainLLM,28,deepseek-coder:6.7b,0.75
phi4_14b,ToTPlainLLM,29,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,30,deepseek-coder:6.7b,0.83
phi4_14b,ToTPlainLLM,31,deepseek-coder:6.7b,0.0
phi4_14b,ToTPlainLLM,32,deepseek-coder:6.7b,0.5
phi4_14b,ToTPlainLLM,33,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,34,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,35,deepseek-coder:6.7b,0.9
phi4_14b,ToTPlainLLM,36,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,37,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,38,deepseek-coder:6.7b,0.67
phi4_14b,ToTPlainLLM,39,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,40,deepseek-coder:6.7b,0.9
phi4_14b,ToTPlainLLM,41,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,42,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,43,deepseek-coder:6.7b,0.5
phi4_14b,ToTPlainLLM,44,deepseek-coder:6.7b,0.05
phi4_14b,ToTPlainLLM,45,deepseek-coder:6.7b,0.5
phi4_14b,ToTPlainLLM,46,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,47,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,48,deepseek-coder:6.7b,0.5
phi4_14b,ToTPlainLLM,49,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,50,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,51,deepseek-coder:6.7b,0.0
phi4_14b,ToTPlainLLM,52,deepseek-coder:6.7b,0.5
phi4_14b,ToTPlainLLM,53,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,54,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,55,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,56,deepseek-coder:6.7b,0.0
phi4_14b,ToTPlainLLM,57,deepseek-coder:6.7b,0.7
phi4_14b,ToTPlainLLM,58,deepseek-coder:6.7b,0.5
phi4_14b,ToTPlainLLM,59,deepseek-coder:6.7b,0.5
phi4_14b,ToTPlainLLM,60,deepseek-coder:6.7b,0.75
phi4_14b,ToTPlainLLM,61,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,62,deepseek-coder:6.7b,0.0
phi4_14b,ToTPlainLLM,63,deepseek-coder:6.7b,0.5
phi4_14b,ToTPlainLLM,64,deepseek-coder:6.7b,0.5
phi4_14b,ToTPlainLLM,65,deepseek-coder:6.7b,1.0
phi4_14b,ToTPlainLLM,66,deepseek-coder:6.7b,0.0
