model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,ToTSelfCorrectionRAG,0,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,1,deepseek-coder:6.7b,0.7083333333333334,3,1.0,0.625,0.5
llama3_2_latest,ToTSelfCorrectionRAG,2,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,3,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
llama3_2_latest,ToTSelfCorrectionRAG,4,deepseek-coder:6.7b,0.43333333333333335,3,0.5,0.75,0.05
llama3_2_latest,ToTSelfCorrectionRAG,5,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
llama3_2_latest,ToTSelfCorrectionRAG,6,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
llama3_2_latest,ToTSelfCorrectionRAG,7,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,ToTSelfCorrectionRAG,8,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,9,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,10,deepseek-coder:6.7b,0.75,3,1.0,0.75,0.5
llama3_2_latest,ToTSelfCorrectionRAG,11,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,ToTSelfCorrectionRAG,12,deepseek-coder:6.7b,0.7000000000000001,3,0.75,0.85,0.5
llama3_2_latest,ToTSelfCorrectionRAG,13,deepseek-coder:6.7b,0.3333333333333333,3,1.0,0.0,0.0
llama3_2_latest,ToTSelfCorrectionRAG,14,deepseek-coder:6.7b,0.3333333333333333,3,0.0,1.0,0.0
llama3_2_latest,ToTSelfCorrectionRAG,15,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,ToTSelfCorrectionRAG,16,deepseek-coder:6.7b,0.3333333333333333,3,1.0,0.0,0.0
llama3_2_latest,ToTSelfCorrectionRAG,17,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
llama3_2_latest,ToTSelfCorrectionRAG,18,deepseek-coder:6.7b,0.61,3,0.5,1.0,0.33
llama3_2_latest,ToTSelfCorrectionRAG,19,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
llama3_2_latest,ToTSelfCorrectionRAG,20,deepseek-coder:6.7b,0.45,3,0.5,0.85,0.0
llama3_2_latest,ToTSelfCorrectionRAG,21,deepseek-coder:6.7b,0.6669999999999999,3,1.0,1.0,0.001
llama3_2_latest,ToTSelfCorrectionRAG,22,deepseek-coder:6.7b,0.3333333333333333,3,0.0,1.0,0.0
llama3_2_latest,ToTSelfCorrectionRAG,23,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,24,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,ToTSelfCorrectionRAG,25,deepseek-coder:6.7b,0.4666666666666666,3,0.9,0.5,0.0
llama3_2_latest,ToTSelfCorrectionRAG,26,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,27,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,28,deepseek-coder:6.7b,0.9166666666666666,3,0.75,1.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,29,deepseek-coder:6.7b,0.3333333333333333,3,0.0,1.0,0.0
llama3_2_latest,ToTSelfCorrectionRAG,30,deepseek-coder:6.7b,0.9333333333333332,3,0.8,1.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,31,deepseek-coder:6.7b,0.5,3,0.5,0.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,32,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,33,deepseek-coder:6.7b,0.22916666666666666,3,0.1875,0.5,0.0
llama3_2_latest,ToTSelfCorrectionRAG,34,deepseek-coder:6.7b,0.75,3,1.0,0.5,0.75
llama3_2_latest,ToTSelfCorrectionRAG,35,deepseek-coder:6.7b,0.6333333333333333,3,1.0,0.9,0.0
llama3_2_latest,ToTSelfCorrectionRAG,36,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
llama3_2_latest,ToTSelfCorrectionRAG,37,deepseek-coder:6.7b,0.7666666666666666,3,0.8,0.5,1.0
llama3_2_latest,ToTSelfCorrectionRAG,38,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,39,deepseek-coder:6.7b,0.6733333333333333,3,0.02,1.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,40,deepseek-coder:6.7b,0.9166666666666666,3,0.75,1.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,41,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,42,deepseek-coder:6.7b,0.6933333333333334,3,0.83,0.5,0.75
llama3_2_latest,ToTSelfCorrectionRAG,43,deepseek-coder:6.7b,0.5833333333333334,3,0.0,0.75,1.0
llama3_2_latest,ToTSelfCorrectionRAG,44,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
llama3_2_latest,ToTSelfCorrectionRAG,45,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,46,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
llama3_2_latest,ToTSelfCorrectionRAG,47,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,48,deepseek-coder:6.7b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTSelfCorrectionRAG,49,deepseek-coder:6.7b,0.9333333333333332,3,0.8,1.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,50,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,51,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,52,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,53,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,54,deepseek-coder:6.7b,0.9166666666666666,3,0.75,1.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,55,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,ToTSelfCorrectionRAG,56,deepseek-coder:6.7b,0.17333333333333334,3,0.01,0.01,0.5
llama3_2_latest,ToTSelfCorrectionRAG,57,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,58,deepseek-coder:6.7b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,ToTSelfCorrectionRAG,59,deepseek-coder:6.7b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,ToTSelfCorrectionRAG,60,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
llama3_2_latest,ToTSelfCorrectionRAG,61,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTSelfCorrectionRAG,62,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
llama3_2_latest,ToTSelfCorrectionRAG,63,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,ToTSelfCorrectionRAG,64,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
llama3_2_latest,ToTSelfCorrectionRAG,65,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
llama3_2_latest,ToTSelfCorrectionRAG,66,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
