model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,ToTRAG,0,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,1,qwen3:8b,0.6666666666666666,3,1.0,0.5,0.5
qwen3_8b,ToTRAG,2,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,ToTRAG,3,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,4,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,5,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,ToTRAG,6,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,7,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,ToTRAG,8,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,9,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,10,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,11,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,12,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,13,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,14,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,15,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,16,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,17,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,18,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,19,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
qwen3_8b,ToTRAG,20,qwen3:8b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,ToTRAG,21,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,22,qwen3:8b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTRAG,23,qwen3:8b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,ToTRAG,24,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,25,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,26,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,27,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,28,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,29,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
qwen3_8b,ToTRAG,30,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,31,qwen3:8b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,ToTRAG,32,qwen3:8b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,ToTRAG,33,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,34,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,35,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,36,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,37,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,38,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,39,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,40,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,41,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,ToTRAG,42,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,ToTRAG,43,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,44,qwen3:8b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTRAG,45,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
qwen3_8b,ToTRAG,46,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,47,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,48,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
qwen3_8b,ToTRAG,49,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,50,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,51,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,ToTRAG,52,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,53,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
qwen3_8b,ToTRAG,54,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,55,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,56,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,57,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,ToTRAG,58,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,ToTRAG,59,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,60,qwen3:8b,0.6666666666666666,3,0.5,1.0,0.5
qwen3_8b,ToTRAG,61,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,62,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,63,qwen3:8b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,ToTRAG,64,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,65,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTRAG,66,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
