model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,GoTRAG,0,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,1,qwen3:8b,0.6666666666666666,3,0.5,0.5,1.0
qwen3_8b,GoTRAG,2,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,3,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,4,qwen3:8b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTRAG,5,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,GoTRAG,6,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,7,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,8,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,9,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,10,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,11,qwen3:8b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,GoTRAG,12,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,13,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,14,qwen3:8b,0.6666666666666666,3,0.5,0.5,1.0
qwen3_8b,GoTRAG,15,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,16,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,17,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,18,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,19,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,20,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,21,qwen3:8b,0.6666666666666666,3,0.5,0.5,1.0
qwen3_8b,GoTRAG,22,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,23,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,24,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,25,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,26,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,27,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,28,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,29,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,30,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,31,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,32,qwen3:8b,0.6666666666666666,3,0.5,0.5,1.0
qwen3_8b,GoTRAG,33,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,34,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,35,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,36,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,37,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,38,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,39,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,40,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,41,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,42,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,43,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,44,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,GoTRAG,45,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,46,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,47,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,48,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,49,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,50,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,GoTRAG,51,qwen3:8b,0.5666666666666667,3,0.7,0.5,0.5
qwen3_8b,GoTRAG,52,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,53,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,GoTRAG,54,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTRAG,55,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
qwen3_8b,GoTRAG,56,qwen3:8b,0.5,3,0.5,0.5,0.5
