model_dir,strategy,sample_index,judge,faithfulness_code_ref
phi4_14b,ToTRAG,0,deepseek-coder:6.7b,0.75
phi4_14b,ToTRAG,1,deepseek-coder:6.7b,0.5
phi4_14b,ToTRAG,2,deepseek-coder:6.7b,0.5
phi4_14b,ToTRAG,3,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,4,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,5,deepseek-coder:6.7b,0.5
phi4_14b,ToTRAG,6,deepseek-coder:6.7b,0.5
phi4_14b,ToTRAG,7,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,8,deepseek-coder:6.7b,0.5
phi4_14b,ToTRAG,9,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,10,deepseek-coder:6.7b,0.7
phi4_14b,ToTRAG,11,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,12,deepseek-coder:6.7b,0.0
phi4_14b,ToTRAG,13,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,14,deepseek-coder:6.7b,0.5
phi4_14b,ToTRAG,15,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,16,deepseek-coder:6.7b,0.5
phi4_14b,ToTRAG,17,deepseek-coder:6.7b,0.5
phi4_14b,ToTRAG,18,deepseek-coder:6.7b,0.75
phi4_14b,ToTRAG,19,deepseek-coder:6.7b,0.5
phi4_14b,ToTRAG,20,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,21,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,22,deepseek-coder:6.7b,0.5
phi4_14b,ToTRAG,23,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,24,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,25,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,26,deepseek-coder:6.7b,0.0
phi4_14b,ToTRAG,27,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,28,deepseek-coder:6.7b,0.5
phi4_14b,ToTRAG,29,deepseek-coder:6.7b,0.5
phi4_14b,ToTRAG,30,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,31,deepseek-coder:6.7b,0.75
phi4_14b,ToTRAG,32,deepseek-coder:6.7b,0.5
phi4_14b,ToTRAG,33,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,34,deepseek-coder:6.7b,0.75
phi4_14b,ToTRAG,35,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,36,deepseek-coder:6.7b,0.0337
phi4_14b,ToTRAG,37,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,38,deepseek-coder:6.7b,0.5
phi4_14b,ToTRAG,39,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,40,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,41,deepseek-coder:6.7b,0.5
phi4_14b,ToTRAG,42,deepseek-coder:6.7b,0.75
phi4_14b,ToTRAG,43,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,44,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,45,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,46,deepseek-coder:6.7b,0.0
phi4_14b,ToTRAG,47,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,48,deepseek-coder:6.7b,0.75
phi4_14b,ToTRAG,49,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,50,deepseek-coder:6.7b,0.5
phi4_14b,ToTRAG,51,deepseek-coder:6.7b,0.0
phi4_14b,ToTRAG,52,deepseek-coder:6.7b,0.03
phi4_14b,ToTRAG,53,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,54,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,55,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,56,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,57,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,58,deepseek-coder:6.7b,0.5
phi4_14b,ToTRAG,59,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,60,deepseek-coder:6.7b,0.75
phi4_14b,ToTRAG,61,deepseek-coder:6.7b,0.75
phi4_14b,ToTRAG,62,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,63,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,64,deepseek-coder:6.7b,0.8
phi4_14b,ToTRAG,65,deepseek-coder:6.7b,1.0
phi4_14b,ToTRAG,66,deepseek-coder:6.7b,1.0
