model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,CoTPlainLLM,0,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
qwen3_8b,CoTPlainLLM,1,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
qwen3_8b,CoTPlainLLM,2,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
qwen3_8b,CoTPlainLLM,3,deepseek-coder:6.7b,0.75,3,0.75,1.0,0.5
qwen3_8b,CoTPlainLLM,4,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,CoTPlainLLM,5,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTPlainLLM,6,deepseek-coder:6.7b,0.7666666666666666,3,0.7,1.0,0.6
qwen3_8b,CoTPlainLLM,7,deepseek-coder:6.7b,0.8666666666666667,3,1.0,1.0,0.6
qwen3_8b,CoTPlainLLM,8,deepseek-coder:6.7b,0.9500000000000001,3,0.85,1.0,1.0
qwen3_8b,CoTPlainLLM,9,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,CoTPlainLLM,10,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
qwen3_8b,CoTPlainLLM,11,deepseek-coder:6.7b,0.8666666666666667,3,1.0,0.9,0.7
qwen3_8b,CoTPlainLLM,12,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,CoTPlainLLM,13,deepseek-coder:6.7b,0.5,3,0.0,0.5,1.0
qwen3_8b,CoTPlainLLM,14,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,CoTPlainLLM,15,deepseek-coder:6.7b,0.69,3,0.07,1.0,1.0
qwen3_8b,CoTPlainLLM,16,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
qwen3_8b,CoTPlainLLM,17,deepseek-coder:6.7b,0.9583333333333334,3,1.0,0.875,1.0
qwen3_8b,CoTPlainLLM,18,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.0,1.0
qwen3_8b,CoTPlainLLM,19,deepseek-coder:6.7b,0.9,3,0.7,1.0,1.0
qwen3_8b,CoTPlainLLM,20,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,CoTPlainLLM,21,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTPlainLLM,22,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,CoTPlainLLM,23,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTPlainLLM,24,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,CoTPlainLLM,25,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,CoTPlainLLM,26,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTPlainLLM,27,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
qwen3_8b,CoTPlainLLM,28,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
qwen3_8b,CoTPlainLLM,29,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,CoTPlainLLM,30,deepseek-coder:6.7b,0.9,3,1.0,0.7,1.0
qwen3_8b,CoTPlainLLM,31,deepseek-coder:6.7b,0.43333333333333335,3,0.3,1.0,0.0
qwen3_8b,CoTPlainLLM,32,deepseek-coder:6.7b,0.47633333333333333,3,0.429,0.0,1.0
qwen3_8b,CoTPlainLLM,33,deepseek-coder:6.7b,0.7999999999999999,3,1.0,0.5,0.9
qwen3_8b,CoTPlainLLM,34,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,CoTPlainLLM,35,deepseek-coder:6.7b,0.33666666666666667,3,1.0,0.0,0.01
qwen3_8b,CoTPlainLLM,36,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTPlainLLM,37,deepseek-coder:6.7b,0.9666666666666667,3,1.0,1.0,0.9
