model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,GoTPlainLLM,0,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,1,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,2,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,3,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,4,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,5,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,GoTPlainLLM,6,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,GoTPlainLLM,7,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,GoTPlainLLM,8,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,GoTPlainLLM,9,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,GoTPlainLLM,10,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,GoTPlainLLM,11,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,12,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,GoTPlainLLM,13,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,14,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,15,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,16,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,17,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,18,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,19,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,GoTPlainLLM,20,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,21,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,GoTPlainLLM,22,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,23,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,24,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,25,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,26,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,27,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,GoTPlainLLM,28,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,29,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,GoTPlainLLM,30,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,31,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,32,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,33,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,34,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,35,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,GoTPlainLLM,36,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,GoTPlainLLM,37,qwen3:8b,0.5,3,0.5,0.5,0.5
