model_dir,strategy,sample_index,judge,faithfulness_code_ref
qwen3_8b,GoTPlainLLM,0,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,1,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,2,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,3,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,4,deepseek-coder:6.7b,0.0
qwen3_8b,GoTPlainLLM,5,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,6,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,7,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,8,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,9,deepseek-coder:6.7b,0.7
qwen3_8b,GoTPlainLLM,10,deepseek-coder:6.7b,0.9
qwen3_8b,GoTPlainLLM,11,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,12,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,13,deepseek-coder:6.7b,0.5
qwen3_8b,GoTPlainLLM,14,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,15,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,16,deepseek-coder:6.7b,0.0
qwen3_8b,GoTPlainLLM,17,deepseek-coder:6.7b,0.9
qwen3_8b,GoTPlainLLM,18,deepseek-coder:6.7b,0.9
qwen3_8b,GoTPlainLLM,19,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,20,deepseek-coder:6.7b,0.5
qwen3_8b,GoTPlainLLM,21,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,22,deepseek-coder:6.7b,0.5
qwen3_8b,GoTPlainLLM,23,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,24,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,25,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,26,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,27,deepseek-coder:6.7b,0.75
qwen3_8b,GoTPlainLLM,28,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,29,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,30,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,31,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,32,deepseek-coder:6.7b,0.0
qwen3_8b,GoTPlainLLM,33,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,34,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,35,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,36,deepseek-coder:6.7b,0.015
qwen3_8b,GoTPlainLLM,37,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,38,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,39,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,40,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,41,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,42,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,43,deepseek-coder:6.7b,0.8
qwen3_8b,GoTPlainLLM,44,deepseek-coder:6.7b,0.0
qwen3_8b,GoTPlainLLM,45,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,46,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,47,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,48,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,49,deepseek-coder:6.7b,0.93
qwen3_8b,GoTPlainLLM,50,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,51,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,52,deepseek-coder:6.7b,0.5
qwen3_8b,GoTPlainLLM,53,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,54,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,55,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,56,deepseek-coder:6.7b,0.5
qwen3_8b,GoTPlainLLM,57,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,58,deepseek-coder:6.7b,0.0
qwen3_8b,GoTPlainLLM,59,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,60,deepseek-coder:6.7b,0.0
qwen3_8b,GoTPlainLLM,61,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,62,deepseek-coder:6.7b,0.5
qwen3_8b,GoTPlainLLM,63,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,64,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,65,deepseek-coder:6.7b,1.0
qwen3_8b,GoTPlainLLM,66,deepseek-coder:6.7b,1.0
