model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
phi4_14b,GoTRAG,0,deepseek-coder:6.7b,0.0006666666666666666,3,0.001,0.0,0.001
phi4_14b,GoTRAG,1,deepseek-coder:6.7b,0.5,3,0.0,0.5,1.0
phi4_14b,GoTRAG,2,deepseek-coder:6.7b,0.9500000000000001,3,1.0,0.85,1.0
phi4_14b,GoTRAG,3,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
phi4_14b,GoTRAG,4,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTRAG,5,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
phi4_14b,GoTRAG,6,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTRAG,7,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTRAG,8,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTRAG,9,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTRAG,10,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTRAG,11,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTRAG,12,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTRAG,13,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
phi4_14b,GoTRAG,14,deepseek-coder:6.7b,0.9333333333333332,3,1.0,1.0,0.8
phi4_14b,GoTRAG,15,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTRAG,16,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
phi4_14b,GoTRAG,17,deepseek-coder:6.7b,0.9666666666666667,3,1.0,1.0,0.9
phi4_14b,GoTRAG,18,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
phi4_14b,GoTRAG,19,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTRAG,20,deepseek-coder:6.7b,0.7666666666666666,3,0.5,0.8,1.0
phi4_14b,GoTRAG,21,deepseek-coder:6.7b,0.75,3,0.5,0.75,1.0
phi4_14b,GoTRAG,22,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTRAG,23,deepseek-coder:6.7b,0.7233333333333333,3,1.0,0.5,0.67
phi4_14b,GoTRAG,24,deepseek-coder:6.7b,0.8888888888888888,3,1.0,0.6666666666666666,1.0
phi4_14b,GoTRAG,25,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
phi4_14b,GoTRAG,26,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTRAG,27,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTRAG,28,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
