model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
phi4_14b,GoTPlainLLM,0,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTPlainLLM,1,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTPlainLLM,2,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTPlainLLM,3,deepseek-coder:6.7b,0.9666666666666667,3,1.0,0.9,1.0
phi4_14b,GoTPlainLLM,4,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
phi4_14b,GoTPlainLLM,5,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
phi4_14b,GoTPlainLLM,6,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTPlainLLM,7,deepseek-coder:6.7b,0.9666666666666667,3,0.9,1.0,1.0
phi4_14b,GoTPlainLLM,8,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTPlainLLM,9,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTPlainLLM,10,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
phi4_14b,GoTPlainLLM,11,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTPlainLLM,12,deepseek-coder:6.7b,0.51,3,0.5,0.03,1.0
phi4_14b,GoTPlainLLM,13,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTPlainLLM,14,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTPlainLLM,15,deepseek-coder:6.7b,0.8833333333333333,3,1.0,0.75,0.9
phi4_14b,GoTPlainLLM,16,deepseek-coder:6.7b,0.8166666666666668,3,0.95,0.5,1.0
phi4_14b,GoTPlainLLM,17,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTPlainLLM,18,deepseek-coder:6.7b,0.9333333333333332,3,1.0,0.8,1.0
phi4_14b,GoTPlainLLM,19,deepseek-coder:6.7b,0.7333333333333334,3,1.0,0.7,0.5
phi4_14b,GoTPlainLLM,20,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.0,1.0
phi4_14b,GoTPlainLLM,21,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
phi4_14b,GoTPlainLLM,22,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTPlainLLM,23,deepseek-coder:6.7b,0.9,3,0.8,0.9,1.0
phi4_14b,GoTPlainLLM,24,deepseek-coder:6.7b,0.9833333333333334,3,0.95,1.0,1.0
phi4_14b,GoTPlainLLM,25,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTPlainLLM,26,deepseek-coder:6.7b,0.8223333333333334,3,1.0,0.9670000000000001,0.5
phi4_14b,GoTPlainLLM,27,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
phi4_14b,GoTPlainLLM,28,deepseek-coder:6.7b,0.5,3,0.5,0.0,1.0
phi4_14b,GoTPlainLLM,29,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
phi4_14b,GoTPlainLLM,30,deepseek-coder:6.7b,0.9333333333333332,3,1.0,0.8,1.0
phi4_14b,GoTPlainLLM,31,deepseek-coder:6.7b,0.47222222222222215,3,0.75,0.6666666666666666,0.0
phi4_14b,GoTPlainLLM,32,deepseek-coder:6.7b,0.5,3,0.5,1.0,0.0
phi4_14b,GoTPlainLLM,33,deepseek-coder:6.7b,0.9333333333333332,3,1.0,1.0,0.8
phi4_14b,GoTPlainLLM,34,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTPlainLLM,35,deepseek-coder:6.7b,0.9500000000000001,3,0.85,1.0,1.0
phi4_14b,GoTPlainLLM,36,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTPlainLLM,37,deepseek-coder:6.7b,0.75,3,0.95,0.8,0.5
phi4_14b,GoTPlainLLM,38,deepseek-coder:6.7b,0.9433333333333334,3,0.95,1.0,0.88
phi4_14b,GoTPlainLLM,39,deepseek-coder:6.7b,0.5833333333333334,3,0.0,1.0,0.75
phi4_14b,GoTPlainLLM,40,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTPlainLLM,41,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
phi4_14b,GoTPlainLLM,42,deepseek-coder:6.7b,0.5,3,0.5,1.0,0.0
phi4_14b,GoTPlainLLM,43,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
phi4_14b,GoTPlainLLM,44,deepseek-coder:6.7b,0.6133333333333333,3,0.0,1.0,0.84
phi4_14b,GoTPlainLLM,45,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
phi4_14b,GoTPlainLLM,46,deepseek-coder:6.7b,0.3333333333333333,3,0.0,0.0,1.0
phi4_14b,GoTPlainLLM,47,deepseek-coder:6.7b,0.5,3,0.0,0.5,1.0
phi4_14b,GoTPlainLLM,48,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
phi4_14b,GoTPlainLLM,49,deepseek-coder:6.7b,0.94,3,1.0,1.0,0.82
phi4_14b,GoTPlainLLM,50,deepseek-coder:6.7b,0.9333333333333332,3,1.0,0.85,0.95
phi4_14b,GoTPlainLLM,51,deepseek-coder:6.7b,0.89,3,0.67,1.0,1.0
phi4_14b,GoTPlainLLM,52,deepseek-coder:6.7b,0.9333333333333332,3,1.0,1.0,0.8
phi4_14b,GoTPlainLLM,53,deepseek-coder:6.7b,0.75,3,0.5,1.0,0.75
phi4_14b,GoTPlainLLM,54,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
phi4_14b,GoTPlainLLM,55,deepseek-coder:6.7b,0.9833333333333334,3,0.95,1.0,1.0
phi4_14b,GoTPlainLLM,56,deepseek-coder:6.7b,0.5683333333333334,3,0.63,0.1,0.975
