model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
phi4_14b,CoTRAG,0,deepseek-coder:6.7b,0.6666666666666666,3,0.8,0.5,0.7
phi4_14b,CoTRAG,1,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
phi4_14b,CoTRAG,2,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,CoTRAG,3,deepseek-coder:6.7b,0.3333333333333333,3,0.5,0.5,0.0
phi4_14b,CoTRAG,4,deepseek-coder:6.7b,0.75,3,0.75,0.5,1.0
phi4_14b,CoTRAG,5,deepseek-coder:6.7b,0.5,3,0.0,1.0,0.5
phi4_14b,CoTRAG,6,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,CoTRAG,7,deepseek-coder:6.7b,0.89,3,1.0,0.67,1.0
phi4_14b,CoTRAG,8,deepseek-coder:6.7b,0.5,3,1.0,0.0,0.5
phi4_14b,CoTRAG,9,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
phi4_14b,CoTRAG,10,deepseek-coder:6.7b,0.9166666666666666,3,0.9,0.85,1.0
phi4_14b,CoTRAG,11,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,CoTRAG,12,deepseek-coder:6.7b,0.61,3,1.0,0.33,0.5
phi4_14b,CoTRAG,13,deepseek-coder:6.7b,0.9666666666666667,3,1.0,0.9,1.0
phi4_14b,CoTRAG,14,deepseek-coder:6.7b,0.6333333333333333,3,0.9,1.0,0.0
phi4_14b,CoTRAG,15,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
phi4_14b,CoTRAG,16,deepseek-coder:6.7b,0.8166666666666668,3,0.7,0.75,1.0
phi4_14b,CoTRAG,17,deepseek-coder:6.7b,0.8666666666666667,3,0.6,1.0,1.0
phi4_14b,CoTRAG,18,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
phi4_14b,CoTRAG,19,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
phi4_14b,CoTRAG,20,deepseek-coder:6.7b,0.9333333333333332,3,0.8,1.0,1.0
phi4_14b,CoTRAG,21,deepseek-coder:6.7b,0.34833333333333333,3,0.045,0.0,1.0
phi4_14b,CoTRAG,22,deepseek-coder:6.7b,0.5,3,0.5,0.0,1.0
phi4_14b,CoTRAG,23,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
phi4_14b,CoTRAG,24,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,CoTRAG,25,deepseek-coder:6.7b,0.5,3,0.5,1.0,0.0
phi4_14b,CoTRAG,26,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,CoTRAG,27,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
phi4_14b,CoTRAG,28,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,CoTRAG,29,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
phi4_14b,CoTRAG,30,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,CoTRAG,31,deepseek-coder:6.7b,0.5555555555555555,3,1.0,0.6666666666666666,0.0
phi4_14b,CoTRAG,32,deepseek-coder:6.7b,0.16666666666666666,3,0.0,0.5,0.0
phi4_14b,CoTRAG,33,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
phi4_14b,CoTRAG,34,deepseek-coder:6.7b,0.19666666666666666,3,0.5,0.03,0.06
