model_dir,strategy,sample_index,judge,faithfulness_code_ref
phi4_14b,SelfCorrectionRAG,0,deepseek-coder:6.7b,0.95
phi4_14b,SelfCorrectionRAG,1,deepseek-coder:6.7b,0.5
phi4_14b,SelfCorrectionRAG,2,deepseek-coder:6.7b,0.5
phi4_14b,SelfCorrectionRAG,3,deepseek-coder:6.7b,0.5
phi4_14b,SelfCorrectionRAG,4,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,5,deepseek-coder:6.7b,0.5
phi4_14b,SelfCorrectionRAG,6,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,7,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,8,deepseek-coder:6.7b,0.5
phi4_14b,SelfCorrectionRAG,9,deepseek-coder:6.7b,0.0
phi4_14b,SelfCorrectionRAG,10,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,11,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,12,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,13,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,14,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,15,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,16,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,17,deepseek-coder:6.7b,0.0
phi4_14b,SelfCorrectionRAG,18,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,19,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,20,deepseek-coder:6.7b,0.5
phi4_14b,SelfCorrectionRAG,21,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,22,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,23,deepseek-coder:6.7b,0.67
phi4_14b,SelfCorrectionRAG,24,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,25,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,26,deepseek-coder:6.7b,0.6
phi4_14b,SelfCorrectionRAG,27,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,28,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,29,deepseek-coder:6.7b,0.0
phi4_14b,SelfCorrectionRAG,30,deepseek-coder:6.7b,0.5
phi4_14b,SelfCorrectionRAG,31,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,32,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,33,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,34,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,35,deepseek-coder:6.7b,0.75
phi4_14b,SelfCorrectionRAG,36,deepseek-coder:6.7b,0.75
phi4_14b,SelfCorrectionRAG,37,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,38,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,39,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,40,deepseek-coder:6.7b,0.7
phi4_14b,SelfCorrectionRAG,41,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,42,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,43,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,44,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,45,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,46,deepseek-coder:6.7b,0.0
phi4_14b,SelfCorrectionRAG,47,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,48,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,49,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,50,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,51,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,52,deepseek-coder:6.7b,0.75
phi4_14b,SelfCorrectionRAG,53,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,54,deepseek-coder:6.7b,0.0
phi4_14b,SelfCorrectionRAG,55,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,56,deepseek-coder:6.7b,0.01
phi4_14b,SelfCorrectionRAG,57,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,58,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,59,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,60,deepseek-coder:6.7b,0.5
phi4_14b,SelfCorrectionRAG,61,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,62,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,63,deepseek-coder:6.7b,0.0
phi4_14b,SelfCorrectionRAG,64,deepseek-coder:6.7b,1.0
phi4_14b,SelfCorrectionRAG,65,deepseek-coder:6.7b,0.03
phi4_14b,SelfCorrectionRAG,66,deepseek-coder:6.7b,0.95
