model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
phi4_14b,FewShotPlainLLM,0,qwen3:8b,0.0,3,0.0,0.0,0.0
phi4_14b,FewShotPlainLLM,1,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,FewShotPlainLLM,2,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,FewShotPlainLLM,3,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
phi4_14b,FewShotPlainLLM,4,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,FewShotPlainLLM,5,qwen3:8b,0.0,3,0.0,0.0,0.0
phi4_14b,FewShotPlainLLM,6,qwen3:8b,0.0,3,0.0,0.0,0.0
phi4_14b,FewShotPlainLLM,7,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
phi4_14b,FewShotPlainLLM,8,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
phi4_14b,FewShotPlainLLM,9,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
phi4_14b,FewShotPlainLLM,10,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
phi4_14b,FewShotPlainLLM,11,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
phi4_14b,FewShotPlainLLM,12,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
phi4_14b,FewShotPlainLLM,13,qwen3:8b,0.0,3,0.0,0.0,0.0
phi4_14b,FewShotPlainLLM,14,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,FewShotPlainLLM,15,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
phi4_14b,FewShotPlainLLM,16,qwen3:8b,0.0,3,0.0,0.0,0.0
phi4_14b,FewShotPlainLLM,17,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,FewShotPlainLLM,18,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,FewShotPlainLLM,19,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
