model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,GoTRAG,0,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,GoTRAG,1,deepseek-coder:6.7b,0.4666666666666666,3,0.9,0.0,0.5
llama3_2_latest,GoTRAG,2,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTRAG,3,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,GoTRAG,4,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,GoTRAG,5,deepseek-coder:6.7b,0.75,3,1.0,0.75,0.5
llama3_2_latest,GoTRAG,6,deepseek-coder:6.7b,0.4166666666666667,3,0.5,0.75,0.0
llama3_2_latest,GoTRAG,7,deepseek-coder:6.7b,0.5833333333333334,3,1.0,0.75,0.0
llama3_2_latest,GoTRAG,8,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,GoTRAG,9,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,GoTRAG,10,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTRAG,11,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
llama3_2_latest,GoTRAG,12,deepseek-coder:6.7b,0.89,3,0.67,1.0,1.0
llama3_2_latest,GoTRAG,13,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,GoTRAG,14,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,GoTRAG,15,deepseek-coder:6.7b,0.5,3,0.5,0.0,1.0
llama3_2_latest,GoTRAG,16,deepseek-coder:6.7b,0.9055555555555556,3,0.9166666666666666,0.8,1.0
llama3_2_latest,GoTRAG,17,deepseek-coder:6.7b,0.9166666666666666,3,0.75,1.0,1.0
llama3_2_latest,GoTRAG,18,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTRAG,19,deepseek-coder:6.7b,0.5666666666666668,3,0.8,0.9,0.0
llama3_2_latest,GoTRAG,20,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTRAG,21,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTRAG,22,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
llama3_2_latest,GoTRAG,23,deepseek-coder:6.7b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTRAG,24,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTRAG,25,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTRAG,26,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTRAG,27,deepseek-coder:6.7b,0.5,3,1.0,0.0,0.5
llama3_2_latest,GoTRAG,28,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTRAG,29,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTRAG,30,deepseek-coder:6.7b,0.8166666666666668,3,0.5,1.0,0.95
llama3_2_latest,GoTRAG,31,deepseek-coder:6.7b,0.19999999999999998,3,0.0,0.6,0.0
llama3_2_latest,GoTRAG,32,deepseek-coder:6.7b,0.3333333333333333,3,1.0,0.0,0.0
llama3_2_latest,GoTRAG,33,deepseek-coder:6.7b,0.6732333333333332,3,0.0197,1.0,1.0
llama3_2_latest,GoTRAG,34,deepseek-coder:6.7b,0.5625,3,0.5,0.6875,0.5
llama3_2_latest,GoTRAG,35,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTRAG,36,deepseek-coder:6.7b,0.6699999999999999,3,1.0,0.01,1.0
llama3_2_latest,GoTRAG,37,deepseek-coder:6.7b,0.7083333333333334,3,0.75,0.875,0.5
llama3_2_latest,GoTRAG,38,deepseek-coder:6.7b,0.5,3,1.0,0.0,0.5
llama3_2_latest,GoTRAG,39,deepseek-coder:6.7b,0.9833333333333334,3,0.95,1.0,1.0
llama3_2_latest,GoTRAG,40,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
llama3_2_latest,GoTRAG,41,deepseek-coder:6.7b,0.625,3,0.5,0.5,0.875
llama3_2_latest,GoTRAG,42,deepseek-coder:6.7b,0.9433333333333334,3,1.0,0.83,1.0
llama3_2_latest,GoTRAG,43,deepseek-coder:6.7b,0.43333333333333335,3,0.85,0.0,0.45
llama3_2_latest,GoTRAG,44,deepseek-coder:6.7b,0.9500000000000001,3,0.85,1.0,1.0
llama3_2_latest,GoTRAG,45,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
llama3_2_latest,GoTRAG,46,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTRAG,47,deepseek-coder:6.7b,0.8333333333333334,3,0.75,0.75,1.0
llama3_2_latest,GoTRAG,48,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,GoTRAG,49,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTRAG,50,deepseek-coder:6.7b,0.5833333333333334,3,0.75,1.0,0.0
llama3_2_latest,GoTRAG,51,deepseek-coder:6.7b,0.34223333333333333,3,0.026699999999999998,1.0,0.0
llama3_2_latest,GoTRAG,52,deepseek-coder:6.7b,0.9166666666666666,3,0.75,1.0,1.0
llama3_2_latest,GoTRAG,53,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
llama3_2_latest,GoTRAG,54,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,GoTRAG,55,deepseek-coder:6.7b,0.5833333333333334,3,0.75,0.0,1.0
llama3_2_latest,GoTRAG,56,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
