model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,GoTPlainLLM,0,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTPlainLLM,1,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,GoTPlainLLM,2,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTPlainLLM,3,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTPlainLLM,4,qwen3:8b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,GoTPlainLLM,5,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTPlainLLM,6,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTPlainLLM,7,qwen3:8b,0.6666666666666666,3,1.0,0.5,0.5
qwen3_8b,GoTPlainLLM,8,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTPlainLLM,9,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTPlainLLM,10,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTPlainLLM,11,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTPlainLLM,12,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTPlainLLM,13,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTPlainLLM,14,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTPlainLLM,15,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTPlainLLM,16,qwen3:8b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,GoTPlainLLM,17,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTPlainLLM,18,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTPlainLLM,19,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTPlainLLM,20,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTPlainLLM,21,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
qwen3_8b,GoTPlainLLM,22,qwen3:8b,0.5,3,0.5,0.5,0.5
