model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,PlainLLM,0,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,1,qwen3:8b,0.6666666666666666,3,0.5,1.0,0.5
qwen3_8b,PlainLLM,2,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,3,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,PlainLLM,4,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,5,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
qwen3_8b,PlainLLM,6,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,PlainLLM,7,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,PlainLLM,8,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,9,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,10,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,11,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,12,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,13,qwen3:8b,0.6666666666666666,3,0.5,0.5,1.0
qwen3_8b,PlainLLM,14,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,15,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,16,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,17,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,18,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,PlainLLM,19,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
qwen3_8b,PlainLLM,20,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,PlainLLM,21,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
qwen3_8b,PlainLLM,22,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
qwen3_8b,PlainLLM,23,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,24,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,25,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,26,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,27,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,28,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,29,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,30,qwen3:8b,1.0,3,1.0,1.0,1.0
qwen3_8b,PlainLLM,31,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,PlainLLM,32,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,PlainLLM,33,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,34,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
qwen3_8b,PlainLLM,35,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,PlainLLM,36,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
qwen3_8b,PlainLLM,37,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,38,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,39,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,40,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,PlainLLM,41,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
qwen3_8b,PlainLLM,42,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,43,qwen3:8b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,PlainLLM,44,qwen3:8b,1.0,3,1.0,1.0,1.0
qwen3_8b,PlainLLM,45,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,46,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,PlainLLM,47,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,PlainLLM,48,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,PlainLLM,49,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,PlainLLM,50,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,PlainLLM,51,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,52,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,53,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,54,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,PlainLLM,55,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,PlainLLM,56,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,57,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,PlainLLM,58,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,PlainLLM,59,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,60,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,61,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,62,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,PlainLLM,63,qwen3:8b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,PlainLLM,64,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,PlainLLM,65,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,PlainLLM,66,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
