model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,PlainLLM,0,deepseek-coder:6.7b,0.6333333333333333,3,0.9,1.0,0.0
qwen3_8b,PlainLLM,1,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,PlainLLM,2,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,PlainLLM,3,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,PlainLLM,4,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,PlainLLM,5,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,PlainLLM,6,deepseek-coder:6.7b,0.8166666666666668,3,1.0,0.5,0.95
qwen3_8b,PlainLLM,7,deepseek-coder:6.7b,0.9666666666666667,3,0.9,1.0,1.0
qwen3_8b,PlainLLM,8,deepseek-coder:6.7b,0.5,3,0.0,1.0,0.5
qwen3_8b,PlainLLM,9,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
qwen3_8b,PlainLLM,10,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
qwen3_8b,PlainLLM,11,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,PlainLLM,12,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,PlainLLM,13,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,PlainLLM,14,deepseek-coder:6.7b,0.9166666666666666,3,0.75,1.0,1.0
qwen3_8b,PlainLLM,15,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
qwen3_8b,PlainLLM,16,deepseek-coder:6.7b,0.7666666666666666,3,1.0,1.0,0.3
qwen3_8b,PlainLLM,17,deepseek-coder:6.7b,0.65,3,0.95,0.0,1.0
qwen3_8b,PlainLLM,18,deepseek-coder:6.7b,0.5,3,1.0,0.5,0.0
qwen3_8b,PlainLLM,19,deepseek-coder:6.7b,0.375,3,0.625,0.0,0.5
qwen3_8b,PlainLLM,20,deepseek-coder:6.7b,0.5,3,0.0,0.5,1.0
qwen3_8b,PlainLLM,21,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,PlainLLM,22,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,PlainLLM,23,deepseek-coder:6.7b,0.7833333333333333,3,0.85,0.5,1.0
qwen3_8b,PlainLLM,24,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,PlainLLM,25,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,PlainLLM,26,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
qwen3_8b,PlainLLM,27,deepseek-coder:6.7b,0.6166666666666667,3,0.85,0.0,1.0
qwen3_8b,PlainLLM,28,deepseek-coder:6.7b,0.75,3,1.0,0.75,0.5
qwen3_8b,PlainLLM,29,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
qwen3_8b,PlainLLM,30,deepseek-coder:6.7b,0.7558333333333334,3,0.5,0.83,0.9375
qwen3_8b,PlainLLM,31,deepseek-coder:6.7b,0.7083333333333334,3,0.5,0.625,1.0
qwen3_8b,PlainLLM,32,deepseek-coder:6.7b,0.9166666666666666,3,0.75,1.0,1.0
qwen3_8b,PlainLLM,33,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
qwen3_8b,PlainLLM,34,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,PlainLLM,35,deepseek-coder:6.7b,0.16666666666666666,3,0.5,0.0,0.0
qwen3_8b,PlainLLM,36,deepseek-coder:6.7b,0.5888888888888889,3,0.6666666666666666,0.1,1.0
qwen3_8b,PlainLLM,37,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,PlainLLM,38,deepseek-coder:6.7b,0.7666666666666666,3,0.8,0.5,1.0
qwen3_8b,PlainLLM,39,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
qwen3_8b,PlainLLM,40,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,PlainLLM,41,deepseek-coder:6.7b,0.3333333333333333,3,1.0,0.0,0.0
qwen3_8b,PlainLLM,42,deepseek-coder:6.7b,0.9500000000000001,3,1.0,0.85,1.0
qwen3_8b,PlainLLM,43,deepseek-coder:6.7b,0.6933333333333334,3,0.08,1.0,1.0
qwen3_8b,PlainLLM,44,deepseek-coder:6.7b,0.5076470588235295,3,0.3529411764705882,0.5,0.67
qwen3_8b,PlainLLM,45,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,PlainLLM,46,deepseek-coder:6.7b,0.9,3,1.0,1.0,0.7
qwen3_8b,PlainLLM,47,deepseek-coder:6.7b,0.7999999999999999,3,0.4,1.0,1.0
qwen3_8b,PlainLLM,48,deepseek-coder:6.7b,0.8288888888888889,3,0.5,1.0,0.9866666666666667
qwen3_8b,PlainLLM,49,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,PlainLLM,50,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
qwen3_8b,PlainLLM,51,deepseek-coder:6.7b,0.6666666666666666,3,0.75,0.75,0.5
qwen3_8b,PlainLLM,52,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,PlainLLM,53,deepseek-coder:6.7b,0.9,3,1.0,1.0,0.7
qwen3_8b,PlainLLM,54,deepseek-coder:6.7b,0.17941666666666667,3,0.5,0.0,0.03825
qwen3_8b,PlainLLM,55,deepseek-coder:6.7b,0.9166666666666666,3,0.75,1.0,1.0
qwen3_8b,PlainLLM,56,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,PlainLLM,57,deepseek-coder:6.7b,0.6699999999999999,3,1.0,1.0,0.01
qwen3_8b,PlainLLM,58,deepseek-coder:6.7b,0.5833333333333334,3,0.75,0.5,0.5
qwen3_8b,PlainLLM,59,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
qwen3_8b,PlainLLM,60,deepseek-coder:6.7b,0.9,3,1.0,1.0,0.7
qwen3_8b,PlainLLM,61,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,PlainLLM,62,deepseek-coder:6.7b,0.2823333333333333,3,0.75,0.09699999999999999,0.0
qwen3_8b,PlainLLM,63,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,PlainLLM,64,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
qwen3_8b,PlainLLM,65,deepseek-coder:6.7b,0.69,3,1.0,0.5,0.57
qwen3_8b,PlainLLM,66,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
