model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
phi4_14b,FewShotPlainLLM,0,deepseek-coder:6.7b,0.5,3,0.0,1.0,0.5
phi4_14b,FewShotPlainLLM,1,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
phi4_14b,FewShotPlainLLM,2,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
phi4_14b,FewShotPlainLLM,3,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,FewShotPlainLLM,4,deepseek-coder:6.7b,0.6566666666666666,3,0.02,0.95,1.0
phi4_14b,FewShotPlainLLM,5,deepseek-coder:6.7b,0.4166666666666667,3,0.5,0.0,0.75
phi4_14b,FewShotPlainLLM,6,deepseek-coder:6.7b,0.7666666666666666,3,1.0,0.5,0.8
phi4_14b,FewShotPlainLLM,7,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,FewShotPlainLLM,8,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,FewShotPlainLLM,9,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
phi4_14b,FewShotPlainLLM,10,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.0,1.0
phi4_14b,FewShotPlainLLM,11,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
phi4_14b,FewShotPlainLLM,12,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,FewShotPlainLLM,13,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
phi4_14b,FewShotPlainLLM,14,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
phi4_14b,FewShotPlainLLM,15,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
phi4_14b,FewShotPlainLLM,16,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.0,1.0
phi4_14b,FewShotPlainLLM,17,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,FewShotPlainLLM,18,deepseek-coder:6.7b,0.6716666666666667,3,0.015,1.0,1.0
phi4_14b,FewShotPlainLLM,19,deepseek-coder:6.7b,0.5,3,0.5,0.5,0.5
phi4_14b,FewShotPlainLLM,20,deepseek-coder:6.7b,0.5333333333333333,3,0.0,0.6,1.0
phi4_14b,FewShotPlainLLM,21,deepseek-coder:6.7b,0.9666666666666667,3,1.0,1.0,0.9
phi4_14b,FewShotPlainLLM,22,deepseek-coder:6.7b,0.3383333333333333,3,0.0,0.015,1.0
phi4_14b,FewShotPlainLLM,23,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,FewShotPlainLLM,24,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,FewShotPlainLLM,25,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
phi4_14b,FewShotPlainLLM,26,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
phi4_14b,FewShotPlainLLM,27,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
phi4_14b,FewShotPlainLLM,28,deepseek-coder:6.7b,0.7666666666666666,3,0.8,1.0,0.5
phi4_14b,FewShotPlainLLM,29,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
phi4_14b,FewShotPlainLLM,30,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,FewShotPlainLLM,31,deepseek-coder:6.7b,0.16666666666666666,3,0.5,0.0,0.0
phi4_14b,FewShotPlainLLM,32,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
phi4_14b,FewShotPlainLLM,33,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
phi4_14b,FewShotPlainLLM,34,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
phi4_14b,FewShotPlainLLM,35,deepseek-coder:6.7b,0.9666666666666667,3,0.9,1.0,1.0
phi4_14b,FewShotPlainLLM,36,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,FewShotPlainLLM,37,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
phi4_14b,FewShotPlainLLM,38,deepseek-coder:6.7b,0.5,3,1.0,0.5,0.0
phi4_14b,FewShotPlainLLM,39,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
phi4_14b,FewShotPlainLLM,40,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,FewShotPlainLLM,41,deepseek-coder:6.7b,0.25,3,0.0,0.0,0.75
phi4_14b,FewShotPlainLLM,42,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
phi4_14b,FewShotPlainLLM,43,deepseek-coder:6.7b,0.9,3,0.7,1.0,1.0
phi4_14b,FewShotPlainLLM,44,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,FewShotPlainLLM,45,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.0,1.0
phi4_14b,FewShotPlainLLM,46,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,FewShotPlainLLM,47,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,FewShotPlainLLM,48,deepseek-coder:6.7b,0.9333333333333332,3,0.95,0.85,1.0
phi4_14b,FewShotPlainLLM,49,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
phi4_14b,FewShotPlainLLM,50,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.0,1.0
phi4_14b,FewShotPlainLLM,51,deepseek-coder:6.7b,0.5,3,0.5,0.0,1.0
phi4_14b,FewShotPlainLLM,52,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
phi4_14b,FewShotPlainLLM,53,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,FewShotPlainLLM,54,deepseek-coder:6.7b,0.8666666666666667,3,1.0,1.0,0.6
phi4_14b,FewShotPlainLLM,55,deepseek-coder:6.7b,0.9833333333333334,3,1.0,1.0,0.95
phi4_14b,FewShotPlainLLM,56,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.0,1.0
