model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
phi4_14b,CoTSelfCorrectionRAG,0,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
phi4_14b,CoTSelfCorrectionRAG,1,deepseek-coder:6.7b,0.6266666666666666,3,0.0,1.0,0.88
phi4_14b,CoTSelfCorrectionRAG,2,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
phi4_14b,CoTSelfCorrectionRAG,3,deepseek-coder:6.7b,0.8888888888888888,3,0.6666666666666666,1.0,1.0
phi4_14b,CoTSelfCorrectionRAG,4,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
phi4_14b,CoTSelfCorrectionRAG,5,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
phi4_14b,CoTSelfCorrectionRAG,6,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
phi4_14b,CoTSelfCorrectionRAG,7,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
phi4_14b,CoTSelfCorrectionRAG,8,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,CoTSelfCorrectionRAG,9,deepseek-coder:6.7b,0.9,3,1.0,0.7,1.0
phi4_14b,CoTSelfCorrectionRAG,10,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
phi4_14b,CoTSelfCorrectionRAG,11,deepseek-coder:6.7b,0.3433333333333333,3,0.03,0.0,1.0
phi4_14b,CoTSelfCorrectionRAG,12,deepseek-coder:6.7b,0.4266666666666667,3,0.03,0.5,0.75
phi4_14b,CoTSelfCorrectionRAG,13,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
phi4_14b,CoTSelfCorrectionRAG,14,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
phi4_14b,CoTSelfCorrectionRAG,15,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
phi4_14b,CoTSelfCorrectionRAG,16,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.0,1.0
phi4_14b,CoTSelfCorrectionRAG,17,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
