model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,FewShotPlainLLM,0,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,FewShotPlainLLM,1,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,FewShotPlainLLM,2,deepseek-coder:6.7b,0.7233333333333333,3,1.0,0.67,0.5
llama3_2_latest,FewShotPlainLLM,3,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
llama3_2_latest,FewShotPlainLLM,4,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,FewShotPlainLLM,5,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,FewShotPlainLLM,6,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
llama3_2_latest,FewShotPlainLLM,7,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.0,1.0
llama3_2_latest,FewShotPlainLLM,8,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,FewShotPlainLLM,9,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
llama3_2_latest,FewShotPlainLLM,10,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,FewShotPlainLLM,11,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
llama3_2_latest,FewShotPlainLLM,12,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
llama3_2_latest,FewShotPlainLLM,13,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,FewShotPlainLLM,14,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
llama3_2_latest,FewShotPlainLLM,15,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
llama3_2_latest,FewShotPlainLLM,16,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
llama3_2_latest,FewShotPlainLLM,17,deepseek-coder:6.7b,0.5083333333333333,3,0.5,1.0,0.025
llama3_2_latest,FewShotPlainLLM,18,deepseek-coder:6.7b,0.5833333333333334,3,0.5,0.75,0.5
