model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,GoTPlainLLM,0,deepseek-coder:6.7b,0.7183333333333333,3,0.285,1.0,0.87
llama3_2_latest,GoTPlainLLM,1,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTPlainLLM,2,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
llama3_2_latest,GoTPlainLLM,3,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
llama3_2_latest,GoTPlainLLM,4,deepseek-coder:6.7b,0.7833333333333333,3,1.0,0.5,0.85
llama3_2_latest,GoTPlainLLM,5,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,GoTPlainLLM,6,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,GoTPlainLLM,7,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
llama3_2_latest,GoTPlainLLM,8,deepseek-coder:6.7b,0.6211111111111111,3,0.85,1.0,0.013333333333333334
llama3_2_latest,GoTPlainLLM,9,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTPlainLLM,10,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,GoTPlainLLM,11,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTPlainLLM,12,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
llama3_2_latest,GoTPlainLLM,13,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTPlainLLM,14,deepseek-coder:6.7b,0.9333333333333332,3,0.8,1.0,1.0
llama3_2_latest,GoTPlainLLM,15,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTPlainLLM,16,deepseek-coder:6.7b,0.5833333333333334,3,0.5,0.75,0.5
llama3_2_latest,GoTPlainLLM,17,deepseek-coder:6.7b,0.75,3,0.5,0.75,1.0
llama3_2_latest,GoTPlainLLM,18,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,GoTPlainLLM,19,deepseek-coder:6.7b,0.8166666666666668,3,0.95,0.5,1.0
llama3_2_latest,GoTPlainLLM,20,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTPlainLLM,21,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
llama3_2_latest,GoTPlainLLM,22,deepseek-coder:6.7b,0.9333333333333332,3,1.0,0.8,1.0
llama3_2_latest,GoTPlainLLM,23,deepseek-coder:6.7b,0.3666666666666667,3,0.1,1.0,0.0
llama3_2_latest,GoTPlainLLM,24,deepseek-coder:6.7b,0.8889999999999999,3,1.0,0.667,1.0
llama3_2_latest,GoTPlainLLM,25,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,GoTPlainLLM,26,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,GoTPlainLLM,27,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTPlainLLM,28,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTPlainLLM,29,deepseek-coder:6.7b,0.5,3,0.0,0.5,1.0
llama3_2_latest,GoTPlainLLM,30,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTPlainLLM,31,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTPlainLLM,32,deepseek-coder:6.7b,0.89,3,1.0,1.0,0.67
llama3_2_latest,GoTPlainLLM,33,deepseek-coder:6.7b,0.5,3,1.0,0.0,0.5
llama3_2_latest,GoTPlainLLM,34,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,GoTPlainLLM,35,deepseek-coder:6.7b,0.57,3,0.01,1.0,0.7
llama3_2_latest,GoTPlainLLM,36,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTPlainLLM,37,deepseek-coder:6.7b,0.5,3,0.5,0.5,0.5
llama3_2_latest,GoTPlainLLM,38,deepseek-coder:6.7b,0.61,3,1.0,0.03,0.8
llama3_2_latest,GoTPlainLLM,39,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,GoTPlainLLM,40,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
