model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,CoTPlainLLM,0,qwen3:8b,0.6666666666666666,3,0.5,1.0,0.5
qwen3_8b,CoTPlainLLM,1,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTPlainLLM,2,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTPlainLLM,3,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,CoTPlainLLM,4,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTPlainLLM,5,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,CoTPlainLLM,6,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,CoTPlainLLM,7,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
qwen3_8b,CoTPlainLLM,8,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTPlainLLM,9,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,CoTPlainLLM,10,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTPlainLLM,11,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
qwen3_8b,CoTPlainLLM,12,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTPlainLLM,13,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTPlainLLM,14,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTPlainLLM,15,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,CoTPlainLLM,16,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTPlainLLM,17,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
qwen3_8b,CoTPlainLLM,18,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTPlainLLM,19,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,CoTPlainLLM,20,qwen3:8b,0.6666666666666666,3,1.0,0.5,0.5
qwen3_8b,CoTPlainLLM,21,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,CoTPlainLLM,22,qwen3:8b,0.6666666666666666,3,1.0,0.5,0.5
qwen3_8b,CoTPlainLLM,23,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTPlainLLM,24,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
qwen3_8b,CoTPlainLLM,25,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTPlainLLM,26,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,CoTPlainLLM,27,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTPlainLLM,28,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTPlainLLM,29,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTPlainLLM,30,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTPlainLLM,31,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,CoTPlainLLM,32,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTPlainLLM,33,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,CoTPlainLLM,34,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
qwen3_8b,CoTPlainLLM,35,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
qwen3_8b,CoTPlainLLM,36,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
qwen3_8b,CoTPlainLLM,37,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTPlainLLM,38,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTPlainLLM,39,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTPlainLLM,40,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTPlainLLM,41,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTPlainLLM,42,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,CoTPlainLLM,43,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTPlainLLM,44,qwen3:8b,0.5,3,0.5,0.5,0.5
