model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,CoTRAG,0,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,1,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
qwen3_8b,CoTRAG,2,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,CoTRAG,3,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,4,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,5,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,6,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
qwen3_8b,CoTRAG,7,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,8,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,9,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,CoTRAG,10,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,CoTRAG,11,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,CoTRAG,12,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
qwen3_8b,CoTRAG,13,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,14,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,15,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,CoTRAG,16,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,17,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,18,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,19,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,CoTRAG,20,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,21,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,22,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,23,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,24,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,25,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,CoTRAG,26,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,27,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,28,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,29,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,30,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,31,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,32,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,33,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,34,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,35,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
qwen3_8b,CoTRAG,36,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,37,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,38,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,CoTRAG,39,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,40,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,41,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,42,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,43,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,44,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,45,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,46,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,47,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,48,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,CoTRAG,49,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
qwen3_8b,CoTRAG,50,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,51,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,CoTRAG,52,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,53,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,CoTRAG,54,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,CoTRAG,55,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,CoTRAG,56,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,57,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,CoTRAG,58,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,59,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,CoTRAG,60,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,61,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,CoTRAG,62,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,63,qwen3:8b,0.6666666666666666,3,1.0,0.5,0.5
qwen3_8b,CoTRAG,64,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,65,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTRAG,66,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
