model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,ToTPlainLLM,0,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
qwen3_8b,ToTPlainLLM,1,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,ToTPlainLLM,2,deepseek-coder:6.7b,0.9166666666666666,3,0.75,1.0,1.0
qwen3_8b,ToTPlainLLM,3,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,ToTPlainLLM,4,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTPlainLLM,5,deepseek-coder:6.7b,0.6333333333333333,3,0.0,1.0,0.9
qwen3_8b,ToTPlainLLM,6,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTPlainLLM,7,deepseek-coder:6.7b,0.9733333333333333,3,0.92,1.0,1.0
qwen3_8b,ToTPlainLLM,8,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTPlainLLM,9,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,ToTPlainLLM,10,deepseek-coder:6.7b,0.8888888888888888,3,0.6666666666666666,1.0,1.0
qwen3_8b,ToTPlainLLM,11,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,ToTPlainLLM,12,deepseek-coder:6.7b,0.9333333333333332,3,1.0,0.8,1.0
qwen3_8b,ToTPlainLLM,13,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
qwen3_8b,ToTPlainLLM,14,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTPlainLLM,15,deepseek-coder:6.7b,0.9833333333333334,3,1.0,0.95,1.0
qwen3_8b,ToTPlainLLM,16,deepseek-coder:6.7b,0.5566666666666666,3,0.5,0.5,0.67
qwen3_8b,ToTPlainLLM,17,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,ToTPlainLLM,18,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTPlainLLM,19,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
qwen3_8b,ToTPlainLLM,20,deepseek-coder:6.7b,0.9666666666666667,3,1.0,0.9,1.0
qwen3_8b,ToTPlainLLM,21,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTPlainLLM,22,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,ToTPlainLLM,23,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
qwen3_8b,ToTPlainLLM,24,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTPlainLLM,25,deepseek-coder:6.7b,0.5,3,1.0,0.5,0.0
qwen3_8b,ToTPlainLLM,26,deepseek-coder:6.7b,0.6933333333333334,3,1.0,1.0,0.08
qwen3_8b,ToTPlainLLM,27,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTPlainLLM,28,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTPlainLLM,29,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTPlainLLM,30,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTPlainLLM,31,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTPlainLLM,32,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,ToTPlainLLM,33,deepseek-coder:6.7b,0.85,3,0.85,0.7,1.0
qwen3_8b,ToTPlainLLM,34,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,ToTPlainLLM,35,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTPlainLLM,36,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
qwen3_8b,ToTPlainLLM,37,deepseek-coder:6.7b,0.5,3,0.75,0.75,0.0
qwen3_8b,ToTPlainLLM,38,deepseek-coder:6.7b,0.7666666666666666,3,0.5,1.0,0.8
qwen3_8b,ToTPlainLLM,39,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTPlainLLM,40,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTPlainLLM,41,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTPlainLLM,42,deepseek-coder:6.7b,0.7833333333333333,3,0.85,1.0,0.5
qwen3_8b,ToTPlainLLM,43,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTPlainLLM,44,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,ToTPlainLLM,45,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTPlainLLM,46,deepseek-coder:6.7b,0.9666666666666667,3,1.0,0.9,1.0
qwen3_8b,ToTPlainLLM,47,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.0,1.0
qwen3_8b,ToTPlainLLM,48,deepseek-coder:6.7b,0.5,3,1.0,0.5,0.0
qwen3_8b,ToTPlainLLM,49,deepseek-coder:6.7b,0.8166666666666668,3,0.95,1.0,0.5
qwen3_8b,ToTPlainLLM,50,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTPlainLLM,51,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
qwen3_8b,ToTPlainLLM,52,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTPlainLLM,53,deepseek-coder:6.7b,0.8666666666666667,3,1.0,0.6,1.0
qwen3_8b,ToTPlainLLM,54,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTPlainLLM,55,deepseek-coder:6.7b,0.88889,3,0.66667,1.0,1.0
qwen3_8b,ToTPlainLLM,56,deepseek-coder:6.7b,0.5499999999999999,3,0.65,0.5,0.5
qwen3_8b,ToTPlainLLM,57,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,ToTPlainLLM,58,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTPlainLLM,59,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
qwen3_8b,ToTPlainLLM,60,deepseek-coder:6.7b,0.9166666666666666,3,0.75,1.0,1.0
qwen3_8b,ToTPlainLLM,61,deepseek-coder:6.7b,0.925925926,3,1.0,1.0,0.777777778
qwen3_8b,ToTPlainLLM,62,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,ToTPlainLLM,63,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,ToTPlainLLM,64,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTPlainLLM,65,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
qwen3_8b,ToTPlainLLM,66,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
