model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
phi4_14b,ToTPlainLLM,0,qwen3:8b,0.0,3,0.0,0.0,0.0
phi4_14b,ToTPlainLLM,1,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,2,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
phi4_14b,ToTPlainLLM,3,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,4,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,5,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
phi4_14b,ToTPlainLLM,6,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,7,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
phi4_14b,ToTPlainLLM,8,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,9,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,10,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,11,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
phi4_14b,ToTPlainLLM,12,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,13,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
phi4_14b,ToTPlainLLM,14,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,15,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
phi4_14b,ToTPlainLLM,16,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,17,qwen3:8b,0.0,3,0.0,0.0,0.0
phi4_14b,ToTPlainLLM,18,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,19,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
phi4_14b,ToTPlainLLM,20,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
phi4_14b,ToTPlainLLM,21,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
phi4_14b,ToTPlainLLM,22,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
phi4_14b,ToTPlainLLM,23,qwen3:8b,0.6666666666666666,3,0.5,1.0,0.5
phi4_14b,ToTPlainLLM,24,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,25,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,26,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,27,qwen3:8b,0.6,3,0.8,0.5,0.5
phi4_14b,ToTPlainLLM,28,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,29,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,30,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
phi4_14b,ToTPlainLLM,31,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
phi4_14b,ToTPlainLLM,32,qwen3:8b,0.0,3,0.0,0.0,0.0
phi4_14b,ToTPlainLLM,33,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,34,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,35,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,36,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,37,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,38,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,39,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,40,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,41,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
phi4_14b,ToTPlainLLM,42,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,43,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,44,qwen3:8b,0.6666666666666666,3,0.5,1.0,0.5
phi4_14b,ToTPlainLLM,45,qwen3:8b,0.6666666666666666,3,1.0,0.5,0.5
phi4_14b,ToTPlainLLM,46,qwen3:8b,0.6666666666666666,3,1.0,0.5,0.5
phi4_14b,ToTPlainLLM,47,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,48,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,49,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
phi4_14b,ToTPlainLLM,50,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,51,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,52,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,53,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,54,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,55,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,56,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,57,qwen3:8b,0.0,3,0.0,0.0,0.0
phi4_14b,ToTPlainLLM,58,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
phi4_14b,ToTPlainLLM,59,qwen3:8b,0.0,3,0.0,0.0,0.0
phi4_14b,ToTPlainLLM,60,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,61,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,62,qwen3:8b,0.8333333333333334,3,0.5,1.0,1.0
phi4_14b,ToTPlainLLM,63,qwen3:8b,0.5,3,0.5,0.5,0.5
phi4_14b,ToTPlainLLM,64,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
phi4_14b,ToTPlainLLM,65,qwen3:8b,0.6666666666666666,3,1.0,0.5,0.5
phi4_14b,ToTPlainLLM,66,qwen3:8b,0.5,3,0.5,0.5,0.5
