model_dir,strategy,sample_index,judge,faithfulness_code_ref
qwen3_8b,ToTSelfCorrectionRAG,0,deepseek-coder:6.7b,1.0
qwen3_8b,ToTSelfCorrectionRAG,1,deepseek-coder:6.7b,1.0
qwen3_8b,ToTSelfCorrectionRAG,2,deepseek-coder:6.7b,0.5
qwen3_8b,ToTSelfCorrectionRAG,3,deepseek-coder:6.7b,1.0
qwen3_8b,ToTSelfCorrectionRAG,4,deepseek-coder:6.7b,1.0
qwen3_8b,ToTSelfCorrectionRAG,5,deepseek-coder:6.7b,0.66
qwen3_8b,ToTSelfCorrectionRAG,6,deepseek-coder:6.7b,0.7
qwen3_8b,ToTSelfCorrectionRAG,7,deepseek-coder:6.7b,0.6666666666666666
qwen3_8b,ToTSelfCorrectionRAG,8,deepseek-coder:6.7b,1.0
qwen3_8b,ToTSelfCorrectionRAG,9,deepseek-coder:6.7b,1.0
qwen3_8b,ToTSelfCorrectionRAG,10,deepseek-coder:6.7b,0.5
qwen3_8b,ToTSelfCorrectionRAG,11,deepseek-coder:6.7b,1.0
qwen3_8b,ToTSelfCorrectionRAG,12,deepseek-coder:6.7b,1.0
qwen3_8b,ToTSelfCorrectionRAG,13,deepseek-coder:6.7b,1.0
qwen3_8b,ToTSelfCorrectionRAG,14,deepseek-coder:6.7b,1.0
qwen3_8b,ToTSelfCorrectionRAG,15,deepseek-coder:6.7b,1.0
qwen3_8b,ToTSelfCorrectionRAG,16,deepseek-coder:6.7b,0.5
qwen3_8b,ToTSelfCorrectionRAG,17,deepseek-coder:6.7b,1.0
qwen3_8b,ToTSelfCorrectionRAG,18,deepseek-coder:6.7b,0.8
qwen3_8b,ToTSelfCorrectionRAG,19,deepseek-coder:6.7b,0.5
qwen3_8b,ToTSelfCorrectionRAG,20,deepseek-coder:6.7b,1.0
qwen3_8b,ToTSelfCorrectionRAG,21,deepseek-coder:6.7b,1.0
qwen3_8b,ToTSelfCorrectionRAG,22,deepseek-coder:6.7b,1.0
qwen3_8b,ToTSelfCorrectionRAG,23,deepseek-coder:6.7b,1.0
qwen3_8b,ToTSelfCorrectionRAG,24,deepseek-coder:6.7b,1.0
qwen3_8b,ToTSelfCorrectionRAG,25,deepseek-coder:6.7b,0.83
qwen3_8b,ToTSelfCorrectionRAG,26,deepseek-coder:6.7b,1.0
qwen3_8b,ToTSelfCorrectionRAG,27,deepseek-coder:6.7b,1.0
