model_dir,strategy,sample_index,judge,faithfulness_code_ref
qwen3_8b,CoTSelfCorrectionRAG,0,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,1,deepseek-coder:6.7b,0.9333
qwen3_8b,CoTSelfCorrectionRAG,2,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,3,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,4,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,5,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,6,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,7,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,8,deepseek-coder:6.7b,0.5
qwen3_8b,CoTSelfCorrectionRAG,9,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,10,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,11,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,12,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,13,deepseek-coder:6.7b,0.6
qwen3_8b,CoTSelfCorrectionRAG,14,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,15,deepseek-coder:6.7b,0.013999999999999999
qwen3_8b,CoTSelfCorrectionRAG,16,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,17,deepseek-coder:6.7b,0.8
qwen3_8b,CoTSelfCorrectionRAG,18,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,19,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,20,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,21,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,22,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,23,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,24,deepseek-coder:6.7b,0.5
qwen3_8b,CoTSelfCorrectionRAG,25,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,26,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,27,deepseek-coder:6.7b,0.5
qwen3_8b,CoTSelfCorrectionRAG,28,deepseek-coder:6.7b,0.5
qwen3_8b,CoTSelfCorrectionRAG,29,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,30,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,31,deepseek-coder:6.7b,0.75
qwen3_8b,CoTSelfCorrectionRAG,32,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,33,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,34,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,35,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,36,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,37,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,38,deepseek-coder:6.7b,0.5
qwen3_8b,CoTSelfCorrectionRAG,39,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,40,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,41,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,42,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,43,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,44,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,45,deepseek-coder:6.7b,0.75
qwen3_8b,CoTSelfCorrectionRAG,46,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,47,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,48,deepseek-coder:6.7b,0.6666666666666666
qwen3_8b,CoTSelfCorrectionRAG,49,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,50,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,51,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,52,deepseek-coder:6.7b,0.0
qwen3_8b,CoTSelfCorrectionRAG,53,deepseek-coder:6.7b,0.6666666666666666
qwen3_8b,CoTSelfCorrectionRAG,54,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,55,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,56,deepseek-coder:6.7b,0.0
qwen3_8b,CoTSelfCorrectionRAG,57,deepseek-coder:6.7b,1.0
qwen3_8b,CoTSelfCorrectionRAG,58,deepseek-coder:6.7b,0.0
qwen3_8b,CoTSelfCorrectionRAG,59,deepseek-coder:6.7b,0.5
qwen3_8b,CoTSelfCorrectionRAG,60,deepseek-coder:6.7b,1.0
