model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,CoTPlainLLM,0,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTPlainLLM,1,deepseek-coder:6.7b,0.43333333333333335,3,0.8,0.0,0.5
llama3_2_latest,CoTPlainLLM,2,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,CoTPlainLLM,3,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,CoTPlainLLM,4,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,CoTPlainLLM,5,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,CoTPlainLLM,6,deepseek-coder:6.7b,0.5,3,1.0,0.0,0.5
llama3_2_latest,CoTPlainLLM,7,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,CoTPlainLLM,8,deepseek-coder:6.7b,0.84,3,0.67,0.85,1.0
llama3_2_latest,CoTPlainLLM,9,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTPlainLLM,10,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,CoTPlainLLM,11,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,CoTPlainLLM,12,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.75,0.75
llama3_2_latest,CoTPlainLLM,13,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
llama3_2_latest,CoTPlainLLM,14,deepseek-coder:6.7b,0.75,3,0.5,1.0,0.75
llama3_2_latest,CoTPlainLLM,15,deepseek-coder:6.7b,0.75,3,1.0,0.5,0.75
llama3_2_latest,CoTPlainLLM,16,deepseek-coder:6.7b,0.9083333333333333,3,0.85,1.0,0.875
llama3_2_latest,CoTPlainLLM,17,deepseek-coder:6.7b,0.3566666666666667,3,0.5,0.5,0.07
llama3_2_latest,CoTPlainLLM,18,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,CoTPlainLLM,19,deepseek-coder:6.7b,0.5833333333333334,3,0.5,1.0,0.25
llama3_2_latest,CoTPlainLLM,20,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTPlainLLM,21,deepseek-coder:6.7b,0.8066666666666666,3,1.0,0.67,0.75
llama3_2_latest,CoTPlainLLM,22,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTPlainLLM,23,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTPlainLLM,24,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
llama3_2_latest,CoTPlainLLM,25,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,CoTPlainLLM,26,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
llama3_2_latest,CoTPlainLLM,27,deepseek-coder:6.7b,0.9500000000000001,3,0.85,1.0,1.0
llama3_2_latest,CoTPlainLLM,28,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,CoTPlainLLM,29,deepseek-coder:6.7b,0.9500000000000001,3,1.0,0.85,1.0
llama3_2_latest,CoTPlainLLM,30,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,CoTPlainLLM,31,deepseek-coder:6.7b,0.6266666666666666,3,0.88,1.0,0.0
llama3_2_latest,CoTPlainLLM,32,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,CoTPlainLLM,33,deepseek-coder:6.7b,0.6133333333333334,3,1.0,0.34,0.5
llama3_2_latest,CoTPlainLLM,34,deepseek-coder:6.7b,0.6,3,0.5,0.5,0.8
llama3_2_latest,CoTPlainLLM,35,deepseek-coder:6.7b,0.5,3,1.0,0.5,0.0
llama3_2_latest,CoTPlainLLM,36,deepseek-coder:6.7b,0.7666666666666666,3,1.0,0.5,0.8
llama3_2_latest,CoTPlainLLM,37,deepseek-coder:6.7b,0.5555555555555555,3,1.0,0.6666666666666666,0.0
llama3_2_latest,CoTPlainLLM,38,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,CoTPlainLLM,39,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTPlainLLM,40,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTPlainLLM,41,deepseek-coder:6.7b,0.6833333333333332,3,0.5,0.75,0.8
llama3_2_latest,CoTPlainLLM,42,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
llama3_2_latest,CoTPlainLLM,43,deepseek-coder:6.7b,0.515,3,0.875,0.0,0.67
llama3_2_latest,CoTPlainLLM,44,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,CoTPlainLLM,45,deepseek-coder:6.7b,0.6,3,0.0,0.95,0.85
llama3_2_latest,CoTPlainLLM,46,deepseek-coder:6.7b,0.3333333333333333,3,0.0,0.0,1.0
llama3_2_latest,CoTPlainLLM,47,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
llama3_2_latest,CoTPlainLLM,48,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
llama3_2_latest,CoTPlainLLM,49,deepseek-coder:6.7b,0.5833333333333334,3,0.75,0.5,0.5
llama3_2_latest,CoTPlainLLM,50,deepseek-coder:6.7b,0.4503333333333333,3,0.001,0.5,0.85
llama3_2_latest,CoTPlainLLM,51,deepseek-coder:6.7b,0.3333333333333333,3,0.0,0.0,1.0
llama3_2_latest,CoTPlainLLM,52,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTPlainLLM,53,deepseek-coder:6.7b,0.9333333333333332,3,1.0,0.8,1.0
llama3_2_latest,CoTPlainLLM,54,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
llama3_2_latest,CoTPlainLLM,55,deepseek-coder:6.7b,0.6,3,0.0,1.0,0.8
llama3_2_latest,CoTPlainLLM,56,deepseek-coder:6.7b,0.17666666666666667,3,0.03,0.5,0.0
llama3_2_latest,CoTPlainLLM,57,deepseek-coder:6.7b,0.5,3,0.5,0.0,1.0
llama3_2_latest,CoTPlainLLM,58,deepseek-coder:6.7b,0.7333333333333334,3,0.7,0.5,1.0
llama3_2_latest,CoTPlainLLM,59,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
llama3_2_latest,CoTPlainLLM,60,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,CoTPlainLLM,61,deepseek-coder:6.7b,0.7766666666666667,3,0.5,0.83,1.0
llama3_2_latest,CoTPlainLLM,62,deepseek-coder:6.7b,0.5566666666666666,3,1.0,0.67,0.0
llama3_2_latest,CoTPlainLLM,63,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
llama3_2_latest,CoTPlainLLM,64,deepseek-coder:6.7b,0.5,3,1.0,0.5,0.0
llama3_2_latest,CoTPlainLLM,65,deepseek-coder:6.7b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTPlainLLM,66,deepseek-coder:6.7b,0.9833333333333334,3,1.0,1.0,0.95
