model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
phi4_14b,GoTSelfCorrectionRAG,0,deepseek-coder:6.7b,0.6669999999999999,3,1.0,1.0,0.001
phi4_14b,GoTSelfCorrectionRAG,1,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTSelfCorrectionRAG,2,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
phi4_14b,GoTSelfCorrectionRAG,3,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTSelfCorrectionRAG,4,deepseek-coder:6.7b,0.6749999999999999,3,1.0,0.025,1.0
phi4_14b,GoTSelfCorrectionRAG,5,deepseek-coder:6.7b,0.75,3,0.75,1.0,0.5
phi4_14b,GoTSelfCorrectionRAG,6,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
phi4_14b,GoTSelfCorrectionRAG,7,deepseek-coder:6.7b,0.9333333333333332,3,1.0,1.0,0.8
phi4_14b,GoTSelfCorrectionRAG,8,deepseek-coder:6.7b,0.7999999999999999,3,0.5,0.9,1.0
phi4_14b,GoTSelfCorrectionRAG,9,deepseek-coder:6.7b,0.89,3,0.67,1.0,1.0
phi4_14b,GoTSelfCorrectionRAG,10,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
phi4_14b,GoTSelfCorrectionRAG,11,deepseek-coder:6.7b,0.7333333333333334,3,0.8,1.0,0.4
phi4_14b,GoTSelfCorrectionRAG,12,deepseek-coder:6.7b,0.9333333333333332,3,1.0,1.0,0.8
phi4_14b,GoTSelfCorrectionRAG,13,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTSelfCorrectionRAG,14,deepseek-coder:6.7b,0.9166666666666666,3,0.75,1.0,1.0
phi4_14b,GoTSelfCorrectionRAG,15,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,GoTSelfCorrectionRAG,16,deepseek-coder:6.7b,0.5833333333333334,3,0.75,0.5,0.5
phi4_14b,GoTSelfCorrectionRAG,17,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
phi4_14b,GoTSelfCorrectionRAG,18,deepseek-coder:6.7b,0.6766666666666666,3,0.03,1.0,1.0
