model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,GoTRAG,0,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.0,1.0
qwen3_8b,GoTRAG,1,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
qwen3_8b,GoTRAG,2,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
qwen3_8b,GoTRAG,3,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTRAG,4,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTRAG,5,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTRAG,6,deepseek-coder:6.7b,0.9500000000000001,3,1.0,1.0,0.85
qwen3_8b,GoTRAG,7,deepseek-coder:6.7b,0.9,3,1.0,1.0,0.7
qwen3_8b,GoTRAG,8,deepseek-coder:6.7b,0.49000000000000005,3,0.0,0.8,0.67
qwen3_8b,GoTRAG,9,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTRAG,10,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTRAG,11,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
qwen3_8b,GoTRAG,12,deepseek-coder:6.7b,0.5833333333333334,3,0.5,0.5,0.75
qwen3_8b,GoTRAG,13,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
qwen3_8b,GoTRAG,14,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTRAG,15,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
qwen3_8b,GoTRAG,16,deepseek-coder:6.7b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,GoTRAG,17,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
qwen3_8b,GoTRAG,18,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTRAG,19,deepseek-coder:6.7b,0.75,3,1.0,0.75,0.5
qwen3_8b,GoTRAG,20,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
qwen3_8b,GoTRAG,21,deepseek-coder:6.7b,0.48333333333333334,3,0.95,0.0,0.5
qwen3_8b,GoTRAG,22,deepseek-coder:6.7b,0.5083333333333333,3,1.0,0.5,0.025
qwen3_8b,GoTRAG,23,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTRAG,24,deepseek-coder:6.7b,0.6766666666666666,3,0.03,1.0,1.0
qwen3_8b,GoTRAG,25,deepseek-coder:6.7b,0.6722333333333333,3,1.0,0.0167,1.0
qwen3_8b,GoTRAG,26,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTRAG,27,deepseek-coder:6.7b,0.7666666666666666,3,0.5,1.0,0.8
qwen3_8b,GoTRAG,28,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTRAG,29,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTRAG,30,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
qwen3_8b,GoTRAG,31,deepseek-coder:6.7b,0.5,3,0.0,0.5,1.0
qwen3_8b,GoTRAG,32,deepseek-coder:6.7b,0.5433333333333333,3,0.8,0.83,0.0
qwen3_8b,GoTRAG,33,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTRAG,34,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTRAG,35,deepseek-coder:6.7b,0.6,3,0.0,1.0,0.8
qwen3_8b,GoTRAG,36,deepseek-coder:6.7b,0.6855555555555556,3,1.0,0.05666666666666667,1.0
qwen3_8b,GoTRAG,37,deepseek-coder:6.7b,0.6166666666666667,3,1.0,0.0,0.85
qwen3_8b,GoTRAG,38,deepseek-coder:6.7b,0.48333333333333334,3,0.0,0.95,0.5
qwen3_8b,GoTRAG,39,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTRAG,40,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,GoTRAG,41,deepseek-coder:6.7b,0.7916666666666666,3,0.5,1.0,0.875
qwen3_8b,GoTRAG,42,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
qwen3_8b,GoTRAG,43,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,GoTRAG,44,deepseek-coder:6.7b,0.5566666666666666,3,0.0,1.0,0.67
qwen3_8b,GoTRAG,45,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,GoTRAG,46,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
qwen3_8b,GoTRAG,47,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTRAG,48,deepseek-coder:6.7b,0.75,3,1.0,1.0,0.25
qwen3_8b,GoTRAG,49,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
qwen3_8b,GoTRAG,50,deepseek-coder:6.7b,0.7766666666666667,3,1.0,0.33,1.0
qwen3_8b,GoTRAG,51,deepseek-coder:6.7b,0.75,3,0.75,0.5,1.0
qwen3_8b,GoTRAG,52,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTRAG,53,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
qwen3_8b,GoTRAG,54,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,GoTRAG,55,deepseek-coder:6.7b,0.5,3,0.5,0.0,1.0
qwen3_8b,GoTRAG,56,deepseek-coder:6.7b,0.3333333333333333,3,0.0,1.0,0.0
qwen3_8b,GoTRAG,57,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTRAG,58,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
qwen3_8b,GoTRAG,59,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,GoTRAG,60,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTRAG,61,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
qwen3_8b,GoTRAG,62,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTRAG,63,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
qwen3_8b,GoTRAG,64,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTRAG,65,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTRAG,66,deepseek-coder:6.7b,0.5566666666666666,3,0.0,0.85,0.82
