model_dir,strategy,sample_index,judge,faithfulness_code_ref
phi4_14b,ToTSelfCorrectionRAG,0,deepseek-coder:6.7b,0.001
phi4_14b,ToTSelfCorrectionRAG,1,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,2,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,3,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,4,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,5,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,6,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,7,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,8,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,9,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,10,deepseek-coder:6.7b,0.75
phi4_14b,ToTSelfCorrectionRAG,11,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,12,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,13,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,14,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,15,deepseek-coder:6.7b,0.5
phi4_14b,ToTSelfCorrectionRAG,16,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,17,deepseek-coder:6.7b,0.5
phi4_14b,ToTSelfCorrectionRAG,18,deepseek-coder:6.7b,0.5
phi4_14b,ToTSelfCorrectionRAG,19,deepseek-coder:6.7b,0.8
phi4_14b,ToTSelfCorrectionRAG,20,deepseek-coder:6.7b,0.5
phi4_14b,ToTSelfCorrectionRAG,21,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,22,deepseek-coder:6.7b,0.9
phi4_14b,ToTSelfCorrectionRAG,23,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,24,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,25,deepseek-coder:6.7b,0.5
phi4_14b,ToTSelfCorrectionRAG,26,deepseek-coder:6.7b,0.5
phi4_14b,ToTSelfCorrectionRAG,27,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,28,deepseek-coder:6.7b,0.0
phi4_14b,ToTSelfCorrectionRAG,29,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,30,deepseek-coder:6.7b,0.75
phi4_14b,ToTSelfCorrectionRAG,31,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,32,deepseek-coder:6.7b,0.0
phi4_14b,ToTSelfCorrectionRAG,33,deepseek-coder:6.7b,0.0
phi4_14b,ToTSelfCorrectionRAG,34,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,35,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,36,deepseek-coder:6.7b,0.75
phi4_14b,ToTSelfCorrectionRAG,37,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,38,deepseek-coder:6.7b,0.7
phi4_14b,ToTSelfCorrectionRAG,39,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,40,deepseek-coder:6.7b,0.5
phi4_14b,ToTSelfCorrectionRAG,41,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,42,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,43,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,44,deepseek-coder:6.7b,0.5
phi4_14b,ToTSelfCorrectionRAG,45,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,46,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,47,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,48,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,49,deepseek-coder:6.7b,0.85
phi4_14b,ToTSelfCorrectionRAG,50,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,51,deepseek-coder:6.7b,0.75
phi4_14b,ToTSelfCorrectionRAG,52,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,53,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,54,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,55,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,56,deepseek-coder:6.7b,0.95
phi4_14b,ToTSelfCorrectionRAG,57,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,58,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,59,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,60,deepseek-coder:6.7b,0.0
phi4_14b,ToTSelfCorrectionRAG,61,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,62,deepseek-coder:6.7b,0.0
phi4_14b,ToTSelfCorrectionRAG,63,deepseek-coder:6.7b,1.0
phi4_14b,ToTSelfCorrectionRAG,64,deepseek-coder:6.7b,0.0
phi4_14b,ToTSelfCorrectionRAG,65,deepseek-coder:6.7b,0.0
phi4_14b,ToTSelfCorrectionRAG,66,deepseek-coder:6.7b,0.75
