model_dir,strategy,sample_index,judge,faithfulness_code_ref
phi4_14b,CoTSelfCorrectionRAG,0,deepseek-coder:6.7b,0.0
phi4_14b,CoTSelfCorrectionRAG,1,deepseek-coder:6.7b,0.58
phi4_14b,CoTSelfCorrectionRAG,2,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,3,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,4,deepseek-coder:6.7b,0.7
phi4_14b,CoTSelfCorrectionRAG,5,deepseek-coder:6.7b,0.875
phi4_14b,CoTSelfCorrectionRAG,6,deepseek-coder:6.7b,0.5
phi4_14b,CoTSelfCorrectionRAG,7,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,8,deepseek-coder:6.7b,0.5
phi4_14b,CoTSelfCorrectionRAG,9,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,10,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,11,deepseek-coder:6.7b,0.0
phi4_14b,CoTSelfCorrectionRAG,12,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,13,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,14,deepseek-coder:6.7b,0.5
phi4_14b,CoTSelfCorrectionRAG,15,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,16,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,17,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,18,deepseek-coder:6.7b,0.0
phi4_14b,CoTSelfCorrectionRAG,19,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,20,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,21,deepseek-coder:6.7b,0.85
phi4_14b,CoTSelfCorrectionRAG,22,deepseek-coder:6.7b,0.75
phi4_14b,CoTSelfCorrectionRAG,23,deepseek-coder:6.7b,0.5
phi4_14b,CoTSelfCorrectionRAG,24,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,25,deepseek-coder:6.7b,0.75
phi4_14b,CoTSelfCorrectionRAG,26,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,27,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,28,deepseek-coder:6.7b,0.5
phi4_14b,CoTSelfCorrectionRAG,29,deepseek-coder:6.7b,0.5
phi4_14b,CoTSelfCorrectionRAG,30,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,31,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,32,deepseek-coder:6.7b,0.0
phi4_14b,CoTSelfCorrectionRAG,33,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,34,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,35,deepseek-coder:6.7b,0.5
phi4_14b,CoTSelfCorrectionRAG,36,deepseek-coder:6.7b,0.5
phi4_14b,CoTSelfCorrectionRAG,37,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,38,deepseek-coder:6.7b,0.5
phi4_14b,CoTSelfCorrectionRAG,39,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,40,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,41,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,42,deepseek-coder:6.7b,0.5
phi4_14b,CoTSelfCorrectionRAG,43,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,44,deepseek-coder:6.7b,0.5
phi4_14b,CoTSelfCorrectionRAG,45,deepseek-coder:6.7b,0.5
phi4_14b,CoTSelfCorrectionRAG,46,deepseek-coder:6.7b,0.5
phi4_14b,CoTSelfCorrectionRAG,47,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,48,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,49,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,50,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,51,deepseek-coder:6.7b,0.7
phi4_14b,CoTSelfCorrectionRAG,52,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,53,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,54,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,55,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,56,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,57,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,58,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,59,deepseek-coder:6.7b,0.0
phi4_14b,CoTSelfCorrectionRAG,60,deepseek-coder:6.7b,0.0
phi4_14b,CoTSelfCorrectionRAG,61,deepseek-coder:6.7b,0.0
phi4_14b,CoTSelfCorrectionRAG,62,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,63,deepseek-coder:6.7b,1.0
phi4_14b,CoTSelfCorrectionRAG,64,deepseek-coder:6.7b,0.5
phi4_14b,CoTSelfCorrectionRAG,65,deepseek-coder:6.7b,0.5
phi4_14b,CoTSelfCorrectionRAG,66,deepseek-coder:6.7b,0.0
