model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,ToTSelfCorrectionRAG,0,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,1,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,2,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
qwen3_8b,ToTSelfCorrectionRAG,3,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,4,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,ToTSelfCorrectionRAG,5,qwen3:8b,0.6666666666666666,3,0.5,0.5,1.0
qwen3_8b,ToTSelfCorrectionRAG,6,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
qwen3_8b,ToTSelfCorrectionRAG,7,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,ToTSelfCorrectionRAG,8,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,ToTSelfCorrectionRAG,9,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
qwen3_8b,ToTSelfCorrectionRAG,10,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,11,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
qwen3_8b,ToTSelfCorrectionRAG,12,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,13,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,14,qwen3:8b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,ToTSelfCorrectionRAG,15,qwen3:8b,0.6666666666666666,3,0.5,1.0,0.5
qwen3_8b,ToTSelfCorrectionRAG,16,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,17,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,18,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,ToTSelfCorrectionRAG,19,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,20,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,21,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,22,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,23,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,24,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,25,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,26,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,27,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,28,qwen3:8b,0.6666666666666666,3,0.5,0.5,1.0
qwen3_8b,ToTSelfCorrectionRAG,29,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,30,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,31,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
qwen3_8b,ToTSelfCorrectionRAG,32,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,ToTSelfCorrectionRAG,33,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,34,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,35,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,36,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,37,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,38,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,39,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,40,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,41,qwen3:8b,0.6666666666666666,3,1.0,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,42,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,43,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,ToTSelfCorrectionRAG,44,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,45,qwen3:8b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,ToTSelfCorrectionRAG,46,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,47,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
qwen3_8b,ToTSelfCorrectionRAG,48,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,49,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,50,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,ToTSelfCorrectionRAG,51,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,ToTSelfCorrectionRAG,52,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,53,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,54,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,55,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
qwen3_8b,ToTSelfCorrectionRAG,56,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,57,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,ToTSelfCorrectionRAG,58,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,59,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,60,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,61,qwen3:8b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,ToTSelfCorrectionRAG,62,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,63,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,64,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,65,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,66,qwen3:8b,0.5,3,0.5,0.5,0.5
