model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,FewShotPlainLLM,0,deepseek-coder:6.7b,0.8833333333333333,3,1.0,1.0,0.65
qwen3_8b,FewShotPlainLLM,1,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,FewShotPlainLLM,2,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
qwen3_8b,FewShotPlainLLM,3,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,FewShotPlainLLM,4,deepseek-coder:6.7b,0.5,3,0.5,0.5,0.5
qwen3_8b,FewShotPlainLLM,5,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,FewShotPlainLLM,6,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,FewShotPlainLLM,7,deepseek-coder:6.7b,0.9583333333333334,3,0.875,1.0,1.0
qwen3_8b,FewShotPlainLLM,8,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
qwen3_8b,FewShotPlainLLM,9,deepseek-coder:6.7b,0.6766666666666666,3,1.0,0.03,1.0
qwen3_8b,FewShotPlainLLM,10,deepseek-coder:6.7b,0.7999999999999999,3,1.0,0.9,0.5
qwen3_8b,FewShotPlainLLM,11,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,FewShotPlainLLM,12,deepseek-coder:6.7b,0.42166666666666663,3,0.5,0.75,0.015
qwen3_8b,FewShotPlainLLM,13,deepseek-coder:6.7b,0.6583333333333333,3,0.975,0.0,1.0
qwen3_8b,FewShotPlainLLM,14,deepseek-coder:6.7b,0.8566666666666668,3,1.0,0.67,0.9
qwen3_8b,FewShotPlainLLM,15,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,FewShotPlainLLM,16,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,FewShotPlainLLM,17,deepseek-coder:6.7b,0.75,3,1.0,0.5,0.75
qwen3_8b,FewShotPlainLLM,18,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,FewShotPlainLLM,19,deepseek-coder:6.7b,0.7166666666666667,3,0.5,0.85,0.8
qwen3_8b,FewShotPlainLLM,20,deepseek-coder:6.7b,0.6716666666666667,3,1.0,1.0,0.015
qwen3_8b,FewShotPlainLLM,21,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
qwen3_8b,FewShotPlainLLM,22,deepseek-coder:6.7b,0.5555555555555555,3,0.6666666666666666,1.0,0.0
qwen3_8b,FewShotPlainLLM,23,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,FewShotPlainLLM,24,deepseek-coder:6.7b,0.89,3,0.67,1.0,1.0
qwen3_8b,FewShotPlainLLM,25,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,FewShotPlainLLM,26,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,FewShotPlainLLM,27,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
qwen3_8b,FewShotPlainLLM,28,deepseek-coder:6.7b,0.5,3,0.5,0.0,1.0
qwen3_8b,FewShotPlainLLM,29,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,FewShotPlainLLM,30,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
qwen3_8b,FewShotPlainLLM,31,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
qwen3_8b,FewShotPlainLLM,32,deepseek-coder:6.7b,0.3333333333333333,3,0.0,1.0,0.0
qwen3_8b,FewShotPlainLLM,33,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.0,1.0
qwen3_8b,FewShotPlainLLM,34,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,FewShotPlainLLM,35,deepseek-coder:6.7b,0.6699999999999999,3,1.0,1.0,0.01
qwen3_8b,FewShotPlainLLM,36,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,FewShotPlainLLM,37,deepseek-coder:6.7b,0.9833333333333334,3,1.0,0.95,1.0
qwen3_8b,FewShotPlainLLM,38,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,FewShotPlainLLM,39,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,FewShotPlainLLM,40,deepseek-coder:6.7b,0.7233333333333333,3,1.0,0.5,0.67
qwen3_8b,FewShotPlainLLM,41,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
qwen3_8b,FewShotPlainLLM,42,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,FewShotPlainLLM,43,deepseek-coder:6.7b,0.7666666666666666,3,0.8,0.5,1.0
qwen3_8b,FewShotPlainLLM,44,deepseek-coder:6.7b,0.3333333333333333,3,1.0,0.0,0.0
qwen3_8b,FewShotPlainLLM,45,deepseek-coder:6.7b,0.9266666666666666,3,0.95,1.0,0.83
qwen3_8b,FewShotPlainLLM,46,deepseek-coder:6.7b,0.9,3,0.7,1.0,1.0
qwen3_8b,FewShotPlainLLM,47,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,FewShotPlainLLM,48,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,FewShotPlainLLM,49,deepseek-coder:6.7b,0.9333333333333332,3,1.0,0.8,1.0
qwen3_8b,FewShotPlainLLM,50,deepseek-coder:6.7b,0.7916666666666666,3,1.0,0.875,0.5
qwen3_8b,FewShotPlainLLM,51,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
qwen3_8b,FewShotPlainLLM,52,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,FewShotPlainLLM,53,deepseek-coder:6.7b,0.9666666666666667,3,0.9,1.0,1.0
qwen3_8b,FewShotPlainLLM,54,deepseek-coder:6.7b,0.7916666666666666,3,1.0,0.5,0.875
qwen3_8b,FewShotPlainLLM,55,deepseek-coder:6.7b,0.7023333333333334,3,0.5,0.75,0.857
qwen3_8b,FewShotPlainLLM,56,deepseek-coder:6.7b,0.507,3,0.621,0.9,0.0
qwen3_8b,FewShotPlainLLM,57,deepseek-coder:6.7b,0.6699999999999999,3,0.01,1.0,1.0
qwen3_8b,FewShotPlainLLM,58,deepseek-coder:6.7b,0.5,3,0.5,1.0,0.0
qwen3_8b,FewShotPlainLLM,59,deepseek-coder:6.7b,0.7766666666666667,3,0.83,0.5,1.0
qwen3_8b,FewShotPlainLLM,60,deepseek-coder:6.7b,0.7833333333333333,3,0.9,0.7,0.75
qwen3_8b,FewShotPlainLLM,61,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,FewShotPlainLLM,62,deepseek-coder:6.7b,0.6833333333333332,3,0.75,0.8,0.5
qwen3_8b,FewShotPlainLLM,63,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,FewShotPlainLLM,64,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,FewShotPlainLLM,65,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,FewShotPlainLLM,66,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
