model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,SimpleRAG,0,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,1,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,SimpleRAG,2,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
qwen3_8b,SimpleRAG,3,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,SimpleRAG,4,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,SimpleRAG,5,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,SimpleRAG,6,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,SimpleRAG,7,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,SimpleRAG,8,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,SimpleRAG,9,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,10,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,SimpleRAG,11,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,SimpleRAG,12,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,13,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,14,qwen3:8b,1.0,3,1.0,1.0,1.0
qwen3_8b,SimpleRAG,15,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,16,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,17,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,18,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
qwen3_8b,SimpleRAG,19,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,SimpleRAG,20,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
qwen3_8b,SimpleRAG,21,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,22,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,23,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,24,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,25,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,26,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,27,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,28,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,29,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,30,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,31,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,32,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,SimpleRAG,33,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,SimpleRAG,34,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,35,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,36,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,SimpleRAG,37,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,38,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,SimpleRAG,39,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,SimpleRAG,40,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,SimpleRAG,41,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,SimpleRAG,42,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,43,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,SimpleRAG,44,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,SimpleRAG,45,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,46,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
qwen3_8b,SimpleRAG,47,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,48,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,49,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,50,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,51,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,52,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,SimpleRAG,53,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,54,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,SimpleRAG,55,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,56,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,57,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,SimpleRAG,58,qwen3:8b,1.0,3,1.0,1.0,1.0
qwen3_8b,SimpleRAG,59,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,60,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,61,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,62,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,SimpleRAG,63,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,64,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,65,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,66,qwen3:8b,0.5,3,0.5,0.5,0.5
