model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,ToTRAG,0,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,ToTRAG,1,deepseek-coder:6.7b,0.9333333333333332,3,1.0,1.0,0.8
llama3_2_latest,ToTRAG,2,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
llama3_2_latest,ToTRAG,3,deepseek-coder:6.7b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTRAG,4,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
llama3_2_latest,ToTRAG,5,deepseek-coder:6.7b,0.75,3,0.5,1.0,0.75
llama3_2_latest,ToTRAG,6,deepseek-coder:6.7b,0.5,3,0.5,1.0,0.0
llama3_2_latest,ToTRAG,7,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,ToTRAG,8,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
llama3_2_latest,ToTRAG,9,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTRAG,10,deepseek-coder:6.7b,0.48333333333333334,3,0.95,0.0,0.5
llama3_2_latest,ToTRAG,11,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTRAG,12,deepseek-coder:6.7b,0.45,3,0.85,0.0,0.5
llama3_2_latest,ToTRAG,13,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTRAG,14,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
llama3_2_latest,ToTRAG,15,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTRAG,16,deepseek-coder:6.7b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,ToTRAG,17,deepseek-coder:6.7b,0.8666666666666667,3,1.0,1.0,0.6
llama3_2_latest,ToTRAG,18,deepseek-coder:6.7b,0.725,3,0.3,0.875,1.0
llama3_2_latest,ToTRAG,19,deepseek-coder:6.7b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,ToTRAG,20,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
llama3_2_latest,ToTRAG,21,deepseek-coder:6.7b,0.525,3,1.0,0.075,0.5
llama3_2_latest,ToTRAG,22,deepseek-coder:6.7b,0.9333333333333332,3,0.8,1.0,1.0
llama3_2_latest,ToTRAG,23,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,ToTRAG,24,deepseek-coder:6.7b,0.75,3,1.0,0.75,0.5
llama3_2_latest,ToTRAG,25,deepseek-coder:6.7b,0.5833333333333334,3,0.0,1.0,0.75
llama3_2_latest,ToTRAG,26,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,ToTRAG,27,deepseek-coder:6.7b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,ToTRAG,28,deepseek-coder:6.7b,0.7916666666666666,3,0.7,0.875,0.8
llama3_2_latest,ToTRAG,29,deepseek-coder:6.7b,0.8125,3,0.5,0.9375,1.0
llama3_2_latest,ToTRAG,30,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,ToTRAG,31,deepseek-coder:6.7b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTRAG,32,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTRAG,33,deepseek-coder:6.7b,0.85,3,0.8,1.0,0.75
llama3_2_latest,ToTRAG,34,deepseek-coder:6.7b,0.5833333333333334,3,0.0,1.0,0.75
llama3_2_latest,ToTRAG,35,deepseek-coder:6.7b,0.5833333333333334,3,0.0,0.75,1.0
llama3_2_latest,ToTRAG,36,deepseek-coder:6.7b,0.33666666666666667,3,0.5,0.5,0.01
llama3_2_latest,ToTRAG,37,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,ToTRAG,38,deepseek-coder:6.7b,0.8166666666666668,3,0.95,1.0,0.5
llama3_2_latest,ToTRAG,39,deepseek-coder:6.7b,0.9444333333333333,3,0.8333,1.0,1.0
llama3_2_latest,ToTRAG,40,deepseek-coder:6.7b,0.8233333333333333,3,1.0,0.97,0.5
llama3_2_latest,ToTRAG,41,deepseek-coder:6.7b,0.0089,3,0.026699999999999998,0.0,0.0
llama3_2_latest,ToTRAG,42,deepseek-coder:6.7b,0.5666666666666667,3,0.2,1.0,0.5
llama3_2_latest,ToTRAG,43,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,ToTRAG,44,deepseek-coder:6.7b,0.35000000000000003,3,0.0,1.0,0.05
llama3_2_latest,ToTRAG,45,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,ToTRAG,46,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,ToTRAG,47,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
llama3_2_latest,ToTRAG,48,deepseek-coder:6.7b,0.6555555555555556,3,1.0,0.3,0.6666666666666666
llama3_2_latest,ToTRAG,49,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
llama3_2_latest,ToTRAG,50,deepseek-coder:6.7b,0.8416666666666667,3,0.9,1.0,0.625
llama3_2_latest,ToTRAG,51,deepseek-coder:6.7b,0.7200000000000001,3,0.75,0.66,0.75
llama3_2_latest,ToTRAG,52,deepseek-coder:6.7b,0.9583333333333334,3,0.875,1.0,1.0
llama3_2_latest,ToTRAG,53,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
llama3_2_latest,ToTRAG,54,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTRAG,55,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,ToTRAG,56,deepseek-coder:6.7b,0.9333333333333332,3,1.0,1.0,0.8
llama3_2_latest,ToTRAG,57,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,ToTRAG,58,deepseek-coder:6.7b,0.375,3,0.0,0.5,0.625
llama3_2_latest,ToTRAG,59,deepseek-coder:6.7b,0.75,3,0.75,1.0,0.5
llama3_2_latest,ToTRAG,60,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTRAG,61,deepseek-coder:6.7b,0.9666666666666667,3,1.0,1.0,0.9
llama3_2_latest,ToTRAG,62,deepseek-coder:6.7b,0.7166666666666667,3,0.65,0.5,1.0
llama3_2_latest,ToTRAG,63,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTRAG,64,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
llama3_2_latest,ToTRAG,65,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,ToTRAG,66,deepseek-coder:6.7b,0.7000000000000001,3,0.5,0.6,1.0
