model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,CoTSelfCorrectionRAG,0,deepseek-coder:6.7b,0.7999999999999999,3,1.0,0.9,0.5
qwen3_8b,CoTSelfCorrectionRAG,1,deepseek-coder:6.7b,0.625,3,1.0,0.0,0.875
qwen3_8b,CoTSelfCorrectionRAG,2,deepseek-coder:6.7b,0.7333333333333334,3,0.85,0.5,0.85
qwen3_8b,CoTSelfCorrectionRAG,3,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
qwen3_8b,CoTSelfCorrectionRAG,4,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTSelfCorrectionRAG,5,deepseek-coder:6.7b,0.7999999999999999,3,1.0,0.5,0.9
qwen3_8b,CoTSelfCorrectionRAG,6,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,CoTSelfCorrectionRAG,7,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTSelfCorrectionRAG,8,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTSelfCorrectionRAG,9,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTSelfCorrectionRAG,10,deepseek-coder:6.7b,0.7999999999999999,3,0.5,1.0,0.9
qwen3_8b,CoTSelfCorrectionRAG,11,deepseek-coder:6.7b,0.9333333333333332,3,1.0,0.8,1.0
qwen3_8b,CoTSelfCorrectionRAG,12,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTSelfCorrectionRAG,13,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTSelfCorrectionRAG,14,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTSelfCorrectionRAG,15,deepseek-coder:6.7b,0.9333333333333332,3,1.0,0.8,1.0
qwen3_8b,CoTSelfCorrectionRAG,16,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,CoTSelfCorrectionRAG,17,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,CoTSelfCorrectionRAG,18,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTSelfCorrectionRAG,19,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,CoTSelfCorrectionRAG,20,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
qwen3_8b,CoTSelfCorrectionRAG,21,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
