model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,SimpleRAG,0,deepseek-coder:6.7b,0.224,3,0.001,0.67,0.001
qwen3_8b,SimpleRAG,1,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
qwen3_8b,SimpleRAG,2,deepseek-coder:6.7b,0.7333333333333334,3,0.7,0.5,1.0
qwen3_8b,SimpleRAG,3,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,SimpleRAG,4,deepseek-coder:6.7b,0.8888888888888888,3,0.6666666666666666,1.0,1.0
qwen3_8b,SimpleRAG,5,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,SimpleRAG,6,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,SimpleRAG,7,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SimpleRAG,8,deepseek-coder:6.7b,0.8833333333333333,3,0.9,1.0,0.75
qwen3_8b,SimpleRAG,9,deepseek-coder:6.7b,0.5,3,0.5,0.0,1.0
qwen3_8b,SimpleRAG,10,deepseek-coder:6.7b,0.7766666666666667,3,1.0,1.0,0.33
qwen3_8b,SimpleRAG,11,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,SimpleRAG,12,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
qwen3_8b,SimpleRAG,13,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,SimpleRAG,14,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SimpleRAG,15,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SimpleRAG,16,deepseek-coder:6.7b,0.7333333333333334,3,1.0,0.7,0.5
qwen3_8b,SimpleRAG,17,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,SimpleRAG,18,deepseek-coder:6.7b,0.44333333333333336,3,0.83,0.5,0.0
qwen3_8b,SimpleRAG,19,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
qwen3_8b,SimpleRAG,20,deepseek-coder:6.7b,0.7833333333333333,3,0.85,0.5,1.0
qwen3_8b,SimpleRAG,21,deepseek-coder:6.7b,0.5,3,0.5,0.5,0.5
qwen3_8b,SimpleRAG,22,deepseek-coder:6.7b,0.9166666666666666,3,0.75,1.0,1.0
qwen3_8b,SimpleRAG,23,deepseek-coder:6.7b,0.5666666666666667,3,1.0,0.0,0.7
qwen3_8b,SimpleRAG,24,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SimpleRAG,25,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,SimpleRAG,26,deepseek-coder:6.7b,0.9333333333333332,3,1.0,1.0,0.8
qwen3_8b,SimpleRAG,27,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SimpleRAG,28,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,SimpleRAG,29,deepseek-coder:6.7b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,SimpleRAG,30,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,SimpleRAG,31,deepseek-coder:6.7b,0.9833333333333334,3,1.0,0.95,1.0
qwen3_8b,SimpleRAG,32,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
qwen3_8b,SimpleRAG,33,deepseek-coder:6.7b,0.7233333333333333,3,0.67,0.5,1.0
qwen3_8b,SimpleRAG,34,deepseek-coder:6.7b,0.8666666666666667,3,1.0,0.75,0.85
qwen3_8b,SimpleRAG,35,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,SimpleRAG,36,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
qwen3_8b,SimpleRAG,37,deepseek-coder:6.7b,0.9500000000000001,3,1.0,1.0,0.85
qwen3_8b,SimpleRAG,38,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SimpleRAG,39,deepseek-coder:6.7b,0.9166666666666666,3,0.75,1.0,1.0
qwen3_8b,SimpleRAG,40,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,SimpleRAG,41,deepseek-coder:6.7b,0.3333333333333333,3,0.0,0.0,1.0
qwen3_8b,SimpleRAG,42,deepseek-coder:6.7b,0.4166666666666667,3,0.5,0.0,0.75
qwen3_8b,SimpleRAG,43,deepseek-coder:6.7b,0.8333333333333334,3,0.75,1.0,0.75
qwen3_8b,SimpleRAG,44,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SimpleRAG,45,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SimpleRAG,46,deepseek-coder:6.7b,0.89,3,1.0,0.67,1.0
qwen3_8b,SimpleRAG,47,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
qwen3_8b,SimpleRAG,48,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,SimpleRAG,49,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SimpleRAG,50,deepseek-coder:6.7b,0.9033333333333333,3,1.0,1.0,0.71
qwen3_8b,SimpleRAG,51,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,SimpleRAG,52,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,SimpleRAG,53,deepseek-coder:6.7b,0.6333333333333333,3,0.5,0.9,0.5
qwen3_8b,SimpleRAG,54,deepseek-coder:6.7b,0.75,3,0.75,0.5,1.0
qwen3_8b,SimpleRAG,55,deepseek-coder:6.7b,0.7833333333333333,3,0.5,1.0,0.85
qwen3_8b,SimpleRAG,56,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
qwen3_8b,SimpleRAG,57,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SimpleRAG,58,deepseek-coder:6.7b,0.9833333333333334,3,1.0,0.95,1.0
qwen3_8b,SimpleRAG,59,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,SimpleRAG,60,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SimpleRAG,61,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SimpleRAG,62,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,SimpleRAG,63,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SimpleRAG,64,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,SimpleRAG,65,deepseek-coder:6.7b,0.8166666666666668,3,1.0,0.95,0.5
qwen3_8b,SimpleRAG,66,deepseek-coder:6.7b,0.3333333333333333,3,0.0,0.0,1.0
