model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,SimpleRAG,0,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,SimpleRAG,1,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,2,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,3,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,4,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,5,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,SimpleRAG,6,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,SimpleRAG,7,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,SimpleRAG,8,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,9,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,10,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,SimpleRAG,11,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,SimpleRAG,12,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,SimpleRAG,13,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,14,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,SimpleRAG,15,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,16,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,SimpleRAG,17,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,SimpleRAG,18,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,SimpleRAG,19,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,SimpleRAG,20,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,21,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,SimpleRAG,22,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,23,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,24,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,SimpleRAG,25,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,SimpleRAG,26,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,27,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,28,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,29,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,SimpleRAG,30,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,31,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,SimpleRAG,32,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,33,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,SimpleRAG,34,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,SimpleRAG,35,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,SimpleRAG,36,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,SimpleRAG,37,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,SimpleRAG,38,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,39,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,SimpleRAG,40,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,SimpleRAG,41,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,SimpleRAG,42,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,SimpleRAG,43,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,SimpleRAG,44,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,SimpleRAG,45,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,SimpleRAG,46,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,SimpleRAG,47,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,SimpleRAG,48,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,SimpleRAG,49,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,SimpleRAG,50,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,SimpleRAG,51,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,SimpleRAG,52,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,53,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,SimpleRAG,54,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,SimpleRAG,55,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,SimpleRAG,56,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,57,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,SimpleRAG,58,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,SimpleRAG,59,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,60,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,61,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,SimpleRAG,62,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,63,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,64,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,SimpleRAG,65,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,SimpleRAG,66,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
